User ID,Word,Associative Bias,Alternative,biased_word_context,adversarial_word_context,masked_prompt,target,incorrect,test_type,choiceA,choiceB,target_col,Please select the best answer to fill in the blank.
3MMFR6RXMZM2,diaper,wet,unspoiled,days,minutes,Mike had changed the babies diaper days ago. The diaper is _____.,wet,unspoiled,1,wet,unspoiled,choiceA,{{choiceA}}
FWD4Z73KK6F6,radio,free,expensive,giveaway,auction,John got the radio at an auction. The radio is _____.,expensive,free,2,free,expensive,choiceB,{{choiceB}}
FPMCK2P37RW2,octopus,extinct,overpopulated,zero,many,There are many octopus remaining. The octopus is _____.,overpopulated,extinct,2,extinct,overpopulated,choiceB,{{choiceB}}
VNAQPVX4R36A,coffeemaker,simple,programmable,filter,computer,Mike's new coffeemaker included a computer. The coffeemaker is _____.,programmable,simple,2,simple,programmable,choiceB,{{choiceB}}
QHKQ32WVQEGN,vial,empty,full,lite,heavy,Jane noticed the vial was unusually lite. The vial is _____.,empty,full,1,empty,full,choiceA,{{choiceA}}
FWD4Z73KK6F6,bowling ball,round,cubical,fast,slow,The bowling ball moved slow down the lane. The bowling ball is _____.,cubical,round,2,cubical,round,choiceA,{{choiceB}}
3MMFR6RXMZM2,viewfinder,visible,hidden,uncomplicated,challenging,One feature you might want to pay attention to when shopping for a camera is if the viewfinder is challenging to utilize. The viewfinder is _____.,hidden,visible,2,hidden,visible,choiceA,{{choiceA}}
FWD4Z73KK6F6,fruit,edible,poisonous,great,sick,The fruit made mike feel great. The fruit is _____.,edible,poisonous,1,poisonous,edible,choiceB,{{choiceB}}
FPMCK2P37RW2,hair,short,lengthy,cut,grew,The girl cut her hair. The hair is _____.,short,lengthy,1,lengthy,short,choiceB,{{choiceB}}
FPMCK2P37RW2,hot tub,open,closed,used,repaired,Dimitri went to the pool and the hot tub was being used. The hot tub is _____.,open,closed,1,closed,open,choiceB,{{choiceB}}
3MMFR6RXMZM2,balloon,empty,full,nothing,helium,Dillon's balloon had helium in it. The balloon is _____.,full,empty,2,full,empty,choiceA,{{choiceA}}
FPMCK2P37RW2,snowmobile,portable,fixed,moved,parked,Bodhi parked the snowmobile outside. The snowmobile is _____.,fixed,portable,2,fixed,portable,choiceA,{{choiceB}}
3MMFR6RXMZM2,mouthpiece,open,shut,laughing,closed,Gary's mouth with his mouthpiece is closed. The mouthpiece is _____.,shut,open,2,shut,open,choiceA,{{choiceA}}
FWD4Z73KK6F6,strap,elastic,inflexible,bra,seatbelt,The strap was part of a seatbelt. The strap is _____.,inflexible,elastic,2,elastic,inflexible,choiceB,{{choiceA}}
3MMFR6RXMZM2,ruby,precious,fake,ecstatic,amused,Bill was amused to have been gifted the ruby. The ruby is _____.,fake,precious,2,fake,precious,choiceA,{{choiceA}}
3MMFR6RXMZM2,book,fiction,true,imaginative,researched,Critics praised Jane's highly imaginative book. The book is _____.,fiction,true,1,fiction,true,choiceA,{{choiceA}}
FWD4Z73KK6F6,vent,vertical,horizontal,lengthwise,sideways,Bob put the vent grate back on sideways. The vent is _____.,horizontal,vertical,2,horizontal,vertical,choiceA,{{choiceA}}
FPMCK2P37RW2,marble,precious,cheap,Carrara,simulated,The marble was simulated. The marble is _____.,cheap,precious,2,precious,cheap,choiceB,{{choiceB}}
EZCVAWE2HAMP,okra,edible,poisonous,butter,Windex,"In the soup, the okra was coated with Windex. The okra is _____.",poisonous,edible,2,edible,poisonous,choiceB,{{choiceB}}
EZCVAWE2HAMP,air mattress,portable,immobile,easy,hard,It would be very easy to get the air mattress out of this room. The air mattress is _____.,portable,immobile,1,portable,immobile,choiceA,{{choiceA}}
3MMFR6RXMZM2,crate,empty,full,returned,packed,Carlos packed the crate. The crate is _____.,full,empty,2,empty,full,choiceB,{{choiceB}}
76VNAHQ9VAC3,scarf,long,short,knees,abdomen,The scarf I'm wearing reaches my knees. The scarf is _____.,long,short,1,long,short,choiceA,{{choiceA}}
76VNAHQ9VAC3,ram,large,little,adult,baby,"Joseph, the ram, is an adult. The ram is _____.",large,little,1,large,little,choiceA,{{choiceA}}
3MMFR6RXMZM2,knitting needle,straight,bent,new,used,The knitting needle was used. The knitting needle is _____.,bent,straight,2,bent,straight,choiceA,{{choiceB}}
3MMFR6RXMZM2,cream cheese,sweet,spoiled,rich,outdated,I used some rich cream cheese on my bagel. The cream cheese is _____.,sweet,spoiled,1,spoiled,sweet,choiceB,{{choiceB}}
76VNAHQ9VAC3,bread,good,stale,purchased,returned,"To test the freshness of the bread, Daryl squeezed the loaf and returned it. The bread is _____.",stale,good,2,stale,good,choiceA,{{choiceB}}
3MMFR6RXMZM2,corn,bitter,sweet,coffee,honey,The corn's flavor is reminiscent of honey. The corn is _____.,sweet,bitter,2,bitter,sweet,choiceB,{{choiceB}}
EZCVAWE2HAMP,soy sauce,edible,inedible,new,stale,Kristen's soy sauce is stale. The soy sauce is _____.,inedible,edible,2,edible,inedible,choiceB,{{choiceB}}
FPMCK2P37RW2,grapevine,important,meaningless,useful,annoying,Roberta's grapevine outside is annoying. The grapevine is _____.,meaningless,important,2,meaningless,important,choiceA,{{choiceA}}
3MMFR6RXMZM2,hockey stick,wooden,steel,cracked,fine,Frank threw his hockey stick at the wall and it was fine. The hockey stick is _____.,steel,wooden,2,wooden,steel,choiceB,{{choiceB}}
3MMFR6RXMZM2,paper,free,charged,grateful,burdened,Jenny was grateful while obtaining the paper. The paper is _____.,free,charged,1,charged,free,choiceB,{{choiceB}}
3MMFR6RXMZM2,towel,warm,freezing,stove,ice,Patricia left the towel on the ice. The towel is _____.,freezing,warm,2,freezing,warm,choiceA,{{choiceA}}
XH7FWCGRRXDJ,slot,empty,clogged,flowing,spilling,The slot was flowing with water. The slot is _____.,empty,clogged,1,clogged,empty,choiceB,{{choiceB}}
XH7FWCGRRXDJ,harness,heavy,breezy,hurting,cool,Mike went climbing but realized his harness was hurting on his side. The harness is _____.,heavy,breezy,1,heavy,breezy,choiceA,{{choiceA}}
FWD4Z73KK6F6,pocket,large,decorative,useful,appled,Tina's jeans pockets were useful. The pocket is _____.,large,decorative,1,decorative,large,choiceB,{{choiceB}}
FPMCK2P37RW2,cactus,small,large,cup,trailer,We had to use a cup to move the cactus. The cactus is _____.,small,large,1,large,small,choiceB,{{choiceB}}
EZCVAWE2HAMP,wooden leg,straight,bent,waxed,broken,Jerry's wooden leg has been waxed. The wooden leg is _____.,straight,bent,1,bent,straight,choiceB,{{choiceB}}
3MMFR6RXMZM2,yo-yo,flat,spiky,fine,pierced,"If you pushed your hand against the side of the yo-yo, it would be fine. The yo-yo is _____.",flat,spiky,1,spiky,flat,choiceB,{{choiceB}}
EZCVAWE2HAMP,polar bear,extinct,alive,sad,happy,The biologist was sad about the polar bear. The polar bear is _____.,extinct,alive,1,alive,extinct,choiceB,{{choiceB}}
76VNAHQ9VAC3,worm,alive,dead,missed,devoured,The fish missed the worm. The worm is _____.,alive,dead,1,dead,alive,choiceB,{{choiceB}}
FWD4Z73KK6F6,petal,pink,blue,warmer,cooler,The color of the flower petals made the white room feel cooler. The petal is _____.,blue,pink,2,pink,blue,choiceB,{{choiceB}}
FWD4Z73KK6F6,go-kart,stationary,moving,sitting,speeding,The go-kart was sitting on the track. The go-kart is _____.,stationary,moving,1,moving,stationary,choiceB,{{choiceB}}
FWD4Z73KK6F6,oatmeal,edible,rotten,fresh,moldy,The oatmeal smells fresh. The oatmeal is _____.,edible,rotten,1,edible,rotten,choiceA,{{choiceA}}
EZCVAWE2HAMP,tube top,flat,curved,folding,wearing,The woman is wearing the tube top. The tube top is _____.,curved,flat,2,flat,curved,choiceB,{{choiceB}}
76VNAHQ9VAC3,drink,alcoholic,water,inebriated,hydrated,Florence became inebriated from her drink. The drink is _____.,alcoholic,water,1,water,alcoholic,choiceB,{{choiceB}}
FWD4Z73KK6F6,snowmobile,portable,stationary,moving,stuck,The snowmobile was moving on the mountain. The snowmobile is _____.,portable,stationary,1,stationary,portable,choiceB,{{choiceB}}
XH7FWCGRRXDJ,bracket,empty,used,free,taken,The sign said the bracket was free. The bracket is _____.,empty,used,1,used,empty,choiceB,{{choiceB}}
76VNAHQ9VAC3,freezer,cold,hot,on,off,The had been on all day. The freezer is _____.,cold,hot,1,hot,cold,choiceB,{{choiceB}}
FWD4Z73KK6F6,window,open,shut,wind,nothing,Greta felt wind next to the window. The window is _____.,open,shut,1,shut,open,choiceB,{{choiceB}}
FWD4Z73KK6F6,cooker,hot,warm,burned,comforted,Tammy lifted up the cooker and it comforted her. The cooker is _____.,warm,hot,2,hot,warm,choiceB,{{choiceB}}
FWD4Z73KK6F6,stereo,available,unavailable,blaring,silent,Bill turned on the stereo and it's blaring. The stereo is _____.,available,unavailable,1,unavailable,available,choiceB,{{choiceB}}
76VNAHQ9VAC3,toe,swollen,normal,throbbing,fine,Billy's big toe was throbbing. The toe is _____.,swollen,normal,1,swollen,normal,choiceA,{{choiceA}}
3MMFR6RXMZM2,trap,empty,full,cheese,rat,The cheese was all that was Mary saw in the trap. The trap is _____.,empty,full,1,empty,full,choiceA,{{choiceB}}
QRFN2MNYRJMF,candlestick,empty,prepared,melted,new,Tom noticed his candlestick was new when he went to light it. The candlestick is _____.,prepared,empty,2,empty,prepared,choiceB,{{choiceB}}
EZCVAWE2HAMP,brush,thick,meager,wavy,thin,Mercedes used the brush to comb her thin hair. The brush is _____.,meager,thick,2,meager,thick,choiceA,{{choiceA}}
XH7FWCGRRXDJ,peach,fruit,colouring,nectarine,hue,"Peach has a few different meanings, some having similarities to a hue. The peach is _____.",colouring,fruit,2,fruit,colouring,choiceB,{{choiceB}}
3MMFR6RXMZM2,sauerkraut,German,english,Berlin,UK,Factual information from Berlin over the origin of sauerkraut. was found. The sauerkraut is _____.,German,english,1,english,German,choiceB,{{choiceB}}
EZCVAWE2HAMP,tadpole,aquatic,landlocked,swim,walk,A tadpole is only able to walk. The tadpole is _____.,landlocked,aquatic,2,landlocked,aquatic,choiceA,{{choiceA}}
VNAQPVX4R36A,go-kart,stationary,moving,sitting,speeding,The go-kart was speeding on the track. The go-kart is _____.,moving,stationary,2,stationary,moving,choiceB,{{choiceB}}
XH7FWCGRRXDJ,kimono,short,lengthened,exposed,hidden,Kimiko's legs were exposed by her outfit during the ceremony. The kimono is _____.,short,lengthened,1,lengthened,short,choiceB,{{choiceB}}
VNAQPVX4R36A,hard disk,hard,soft,solid,squishy,I tried to insert the hard disk but it was too squishy. The hard disk is _____.,soft,hard,2,hard,soft,choiceB,{{choiceB}}
3MMFR6RXMZM2,siren,silent,blaring,notice,ignore,Bill could not ignore the siren. The siren is _____.,blaring,silent,2,silent,blaring,choiceB,{{choiceB}}
QHKQ32WVQEGN,baseball glove,plastic,bronze,light,heavy,The baseball glove was light. The baseball glove is _____.,plastic,bronze,1,plastic,bronze,choiceA,{{choiceA}}
3MMFR6RXMZM2,candy cane,edible,poisonous,peppermint,chemicals,Jerry's candy cane was made from chemicals. The candy cane is _____.,poisonous,edible,2,edible,poisonous,choiceB,{{choiceA}}
EZCVAWE2HAMP,gargoyle,extinct,extant,banished,made ,The magic ritual banished gargoyles in the building. The gargoyle is _____.,extinct,extant,1,extinct,extant,choiceA,{{choiceA}}
FPMCK2P37RW2,robe,long,short,feet,knees,the robe just reached mikes knees. The robe is _____.,short,long,2,short,long,choiceA,{{choiceA}}
FWD4Z73KK6F6,bowling ball,spherical,crooked,rolled,bounced,The bowling ball bounced down the lane. The bowling ball is _____.,crooked,spherical,2,crooked,spherical,choiceA,{{choiceA}}
FWD4Z73KK6F6,cream,perfect,separating,new,old,Tina's milk from the store is new. The cream is _____.,perfect,separating,1,perfect,separating,choiceA,{{choiceA}}
XH7FWCGRRXDJ,lamppost,tall,short,ladder,stepstool,"In order to change the bulb in the lamppost, the man used a stepstool. The lamppost is _____.",short,tall,2,tall,short,choiceB,{{choiceA}}
3MMFR6RXMZM2,towel,warm,cold,warmer,snow,Ingrid put her towel on the snow. The towel is _____.,cold,warm,2,warm,cold,choiceB,{{choiceB}}
XH7FWCGRRXDJ,handprint,recognizable,alien,home,Mars,Jackie looked at the handprint taken from Mars. The handprint is _____.,alien,recognizable,2,recognizable,alien,choiceB,{{choiceB}}
76VNAHQ9VAC3,creme brulee,common,uncommon,discarded,exalted,Rudyard's creme brulee was discarded. The creme brulee is _____.,common,uncommon,1,uncommon,common,choiceB,{{choiceB}}
FPMCK2P37RW2,football,good,unusable,nice,useless,There is a nice football in the garage. The football is _____.,good,unusable,1,good,unusable,choiceA,{{choiceA}}
3MMFR6RXMZM2,jewel,there,elsewhere,case,trashcan,I'm pointing at a glass case. The jewel is _____.,there,elsewhere,1,there,elsewhere,choiceA,{{choiceA}}
76VNAHQ9VAC3,veil,thin,thick,see,miss,Logan could see his friend through the veil of smoke outside. The veil is _____.,thin,thick,1,thin,thick,choiceA,{{choiceA}}
76VNAHQ9VAC3,okra,edible,poisonous,butter,Windex,"In the soup, the okra was coated with butter. The okra is _____.",edible,poisonous,1,edible,poisonous,choiceA,{{choiceA}}
XH7FWCGRRXDJ,computer,dead,operable,smashed,lit,Jenny saw that the screen was smashed. The computer is _____.,dead,operable,1,dead,operable,choiceA,{{choiceA}}
EZCVAWE2HAMP,cabbage,edible,overcooked,tender,mushy,"When preparing that recipe, take note if the cabbage is mushy. The cabbage is _____.",overcooked,edible,2,overcooked,edible,choiceA,{{choiceA}}
FPMCK2P37RW2,counter,empty,filled,room,clutter,"Looking for somewhere to set down his bag, John saw that there was room on the counter. The counter is _____.",empty,filled,1,empty,filled,choiceA,{{choiceA}}
3MMFR6RXMZM2,gong,large,short,man,kitten,The gong was as tall as a man. The gong is _____.,large,short,1,short,large,choiceB,{{choiceB}}
QRFN2MNYRJMF,rim,round,sharp,rubbed,cut,Bill cut his finger on the rim. The rim is _____.,sharp,round,2,round,sharp,choiceB,{{choiceB}}
FWD4Z73KK6F6,shopping cart,empty,full,load,unload,We had to unload the shopping cart. The shopping cart is _____.,full,empty,2,empty,full,choiceB,{{choiceB}}
3MMFR6RXMZM2,train car,empty,full,gaining,losing,The train car was losing speed because of the cargo cars. The train car is _____.,full,empty,2,full,empty,choiceA,{{choiceA}}
3MMFR6RXMZM2,lamppost,tall,short,ladder,stepstool,"In order to change the bulb in the lamppost, the man used a ladder. The lamppost is _____.",tall,short,1,tall,short,choiceA,{{choiceA}}
3MMFR6RXMZM2,navel,flat,curved,board,ball,Mary saw Tims navel thinking it looked like a board. The navel is _____.,flat,curved,1,flat,curved,choiceA,{{choiceA}}
XH7FWCGRRXDJ,credit card,valid,expired,approved ,declined,Maria's credit card was declined during checkout. The credit card is _____.,expired,valid,2,expired,valid,choiceA,{{choiceA}}
FPMCK2P37RW2,sunflower,edible,inedible,fry,discard,The farmer handed the sunflower to his wife to fry. The sunflower is _____.,edible,inedible,1,edible,inedible,choiceA,{{choiceA}}
FPMCK2P37RW2,flamingo,extinct,thriving,no,many,The park was known to have many flamingos living there. The flamingo is _____.,thriving,extinct,2,extinct,thriving,choiceB,{{choiceB}}
VNAQPVX4R36A,inhaler,portable,immobile,close,glued,John's inhaler was glued to his desk. The inhaler is _____.,immobile,portable,2,immobile,portable,choiceA,{{choiceA}}
EZCVAWE2HAMP,wrist,swollen,soothed,throbbing,calm,Rebecca's wrist was calm. The wrist is _____.,soothed,swollen,2,swollen,soothed,choiceB,{{choiceB}}
QRFN2MNYRJMF,scoreboard,accurate,inaccurate,methodically,erratically,The scoreboard updated methodically. The scoreboard is _____.,accurate,inaccurate,1,inaccurate,accurate,choiceB,{{choiceB}}
FWD4Z73KK6F6,snack,edible,harmful,full,sick,Eating the snack made bill full. The snack is _____.,edible,harmful,1,edible,harmful,choiceA,{{choiceA}}
3MMFR6RXMZM2,nail file,plastic,glass,wooden,metal,I had to find a metal nail file yesterday. The nail file is _____.,glass,plastic,2,glass,plastic,choiceA,{{choiceB}}
3MMFR6RXMZM2,toe,long,small,on,off,The toe-ring easily slipped on the toe. The toe is _____.,long,small,1,small,long,choiceB,{{choiceA}}
EZCVAWE2HAMP,visor,transparent,dark,could,can't,Ron can't see through his visor. The visor is _____.,dark,transparent,2,transparent,dark,choiceB,{{choiceB}}
3MMFR6RXMZM2,belt buckle,optional,mandatory,play,work,The belt buckle was part of my work clothes. The belt buckle is _____.,mandatory,optional,2,mandatory,optional,choiceA,{{choiceA}}
3MMFR6RXMZM2,box,empty,full,lite,heavy,Bill found the box to be quite lite. The box is _____.,empty,full,1,full,empty,choiceB,{{choiceB}}
QHKQ32WVQEGN,bok choy,Chinese,thai,hoisin,lemongrass,Mei cooked the bok choy with hoisin. The bok choy is _____.,Chinese,thai,1,thai,Chinese,choiceB,{{choiceB}}
XH7FWCGRRXDJ,go-kart,stationary,approaching,Stayed ,Drove,As Mark slammed on the gas the go-kart Drove there. The go-kart is _____.,approaching,stationary,2,stationary,approaching,choiceB,{{choiceB}}
FWD4Z73KK6F6,charcoal,hot,cold,burned,dirtied,The charcoal burned the man's hand while it snowed. The charcoal is _____.,hot,cold,1,hot,cold,choiceA,{{choiceA}}
QRFN2MNYRJMF,power line,underground,strung,down,up,The men went up the ladder to fix the power line. The power line is _____.,strung,underground,2,strung,underground,choiceA,{{choiceA}}
XH7FWCGRRXDJ,pear,fruit,toy,squished,squeaked,Susan squeezed the pear until it squeaked. The pear is _____.,toy,fruit,2,toy,fruit,choiceA,{{choiceA}}
3MMFR6RXMZM2,mango,edible,plastic,grocery,toy,Robin purchased the mango from the toy store. The mango is _____.,plastic,edible,2,edible,plastic,choiceB,{{choiceB}}
VNAQPVX4R36A,bun,round,square,rolling,slicing,Martin made buns by slicing the dough. The bun is _____.,square,round,2,round,square,choiceB,{{choiceA}}
FWD4Z73KK6F6,bedpost,wooden,metal,Carved,Welded,Bob Welded his bed post for his room. The bedpost is _____.,metal,wooden,2,metal,wooden,choiceA,{{choiceA}}
3MMFR6RXMZM2,gum,bitter,sweet,anise,fruit,Janet's gum is made of fruit. The gum is _____.,sweet,bitter,2,sweet,bitter,choiceA,{{choiceA}}
XH7FWCGRRXDJ,lemonade,good,bad,best,worst,Marcus exclaimed that his lemonade was the worst. The lemonade is _____.,bad,good,2,bad,good,choiceA,{{choiceA}}
XH7FWCGRRXDJ,pineapple,edible,unpalatable,enjoyed,detested,Mike detested eating the pineapple. The pineapple is _____.,unpalatable,edible,2,edible,unpalatable,choiceB,{{choiceB}}
EZCVAWE2HAMP,needle,sharp,dull,ease,difficulty,The needle penetrated with difficulty. The needle is _____.,dull,sharp,2,dull,sharp,choiceA,{{choiceA}}
FWD4Z73KK6F6,pine needle,straight,curved,stuck,bounced,Falling from the tree the pine needle bounced on the ground. The pine needle is _____.,curved,straight,2,curved,straight,choiceA,{{choiceB}}
FWD4Z73KK6F6,water bottle,empty,full,ligjht,heavy,Jackie put the heavy water bottle away. The water bottle is _____.,full,empty,2,empty,full,choiceB,{{choiceB}}
EZCVAWE2HAMP,seaweed,toxic,safe,trash,salad,I put the seaweed in the trash. The seaweed is _____.,toxic,safe,1,safe,toxic,choiceB,{{choiceB}}
EZCVAWE2HAMP,baby,dead,alive,buried,breathing,Lyle's baby is buried. The baby is _____.,dead,alive,1,dead,alive,choiceA,{{choiceA}}
XH7FWCGRRXDJ,zucchini,edible,inedible,real,play,The zucchini was in the play kitchen. The zucchini is _____.,inedible,edible,2,inedible,edible,choiceA,{{choiceA}}
HKXM7AJCMHJQ,snowball,cold,hot,glove,sponge,Jane picked up the snowball with a sponge. The snowball is _____.,hot,cold,2,cold,hot,choiceB,{{choiceA}}
QRFN2MNYRJMF,coral,large,damaged,observed,poisoned,The boat poisoned the impressive coral. The coral is _____.,damaged,large,2,damaged,large,choiceA,{{choiceA}}
FWD4Z73KK6F6,bowling ball,plastic,metal,toddlers,professionals,The bowling ball was designed for toddlers. The bowling ball is _____.,plastic,metal,1,plastic,metal,choiceA,{{choiceA}}
XH7FWCGRRXDJ,vacuum,real,phony,demonstrations,photographs,The display model vacuum was also used for photographs. The vacuum is _____.,phony,real,2,real,phony,choiceB,{{choiceB}}
EZCVAWE2HAMP,record,incomplete,finished,played,lowered,The members of the band lowered their instruments in the recording studio. The record is _____.,finished,incomplete,2,incomplete,finished,choiceB,{{choiceB}}
EZCVAWE2HAMP,jam,good,bad,sweet,sour,The jam was sour. The jam is _____.,bad,good,2,bad,good,choiceA,{{choiceA}}
XH7FWCGRRXDJ,candy,good,bad,gourmet,stale,I used stale in the recipe. The candy is _____.,bad,good,2,good,bad,choiceB,{{choiceB}}
FPMCK2P37RW2,bow,long,broken,all,half,The bow was half its normal length. The bow is _____.,broken,long,2,long,broken,choiceB,{{choiceB}}
FWD4Z73KK6F6,incubator,portable,immobile,storage,lab,Remo took the samples down to the storage room to incubate. The incubator is _____.,portable,immobile,1,portable,immobile,choiceA,{{choiceB}}
XH7FWCGRRXDJ,fungus,edible,dangerous,smiled,frowned,The guide pointed to the fungus and frowned. The fungus is _____.,dangerous,edible,2,edible,dangerous,choiceB,{{choiceB}}
FPMCK2P37RW2,straw,long,tiny,bottom,wall,Jane's straw scrapes the bottom of her cup. The straw is _____.,long,tiny,1,tiny,long,choiceB,{{choiceB}}
FPMCK2P37RW2,pear,fruit,fake,ripe,plastic,"When Derek tried to bite the pear, he realized it was ripe. The pear is _____.",fruit,fake,1,fruit,fake,choiceA,{{choiceA}}
FWD4Z73KK6F6,taffy,sweet,bitter,good,terrible,The taffy left a good taste in Henry's mouth. The taffy is _____.,sweet,bitter,1,sweet,bitter,choiceA,{{choiceA}}
3MMFR6RXMZM2,wafer,thin,thick,broke,filled,Marco took a bite of the wafer and it broke in his mouth. The wafer is _____.,thin,thick,1,thin,thick,choiceA,{{choiceB}}
3MMFR6RXMZM2,tea,hot,chilly,kettle,fridge,Marco usually puts his tea in the fridge before drinking. The tea is _____.,chilly,hot,2,hot,chilly,choiceB,{{choiceB}}
FPMCK2P37RW2,beard,long,short,not,just,Bill had just trimmed his beard. The beard is _____.,short,long,2,short,long,choiceA,{{choiceA}}
FPMCK2P37RW2,oar,long,short,bed,surface,"Mike paddled the oar, barely scraping the lake surface with each stroke. The oar is _____.",short,long,2,short,long,choiceA,{{choiceA}}
QHKQ32WVQEGN,puddle,full,dried,continued,stopped,The rain continued falling after 5:00pm. The puddle is _____.,full,dried,1,full,dried,choiceA,{{choiceA}}
3MMFR6RXMZM2,fire pit,empty,overflowing,sold,cleaned,Tina knew the fire pit needed to be sold. The fire pit is _____.,empty,overflowing,1,empty,overflowing,choiceA,{{choiceA}}
3MMFR6RXMZM2,sweeper,human,inhuman,janitor,cat,Mike assigned sweeping duties at the office to the local janitor. The sweeper is _____.,human,inhuman,1,inhuman,human,choiceB,{{choiceB}}
XH7FWCGRRXDJ,sponge,slippery,sticky,soap,glue,Roland picked up a sponge and it had soap on it. The sponge is _____.,slippery,sticky,1,sticky,slippery,choiceB,{{choiceB}}
76VNAHQ9VAC3,stuffing,good,bad,made,ruined,Jane thought that the stuffing had made the meal. The stuffing is _____.,good,bad,1,good,bad,choiceA,{{choiceA}}
3MMFR6RXMZM2,subway,underground,raised,beneath,above,We rode a subway beneath the ground. The subway is _____.,underground,raised,1,underground,raised,choiceA,{{choiceA}}
FWD4Z73KK6F6,cage,empty,full,inside,outside,All the animals are outside the cage. The cage is _____.,full,empty,2,empty,full,choiceB,{{choiceA}}
FPMCK2P37RW2,power line,overhead,underneath,ladder,shovel,Jane grabbed a shovel and set out to fix the power line. The power line is _____.,underneath,overhead,2,underneath,overhead,choiceA,{{choiceA}}
EZCVAWE2HAMP,puppy,dead,alive,laying,running,Tim noticed the puppy was laying in the field. The puppy is _____.,dead,alive,1,dead,alive,choiceA,{{choiceA}}
