Word	Associative Bias	Alternative	bert-base-cased	bert-large-cased-whole-word-masking	roberta-base	roberta-large	distilroberta-base	DistilBERT	squeezebert/squeezebert-uncased	google/mobilebert-uncased	allenai/longformer-base-4096	allenai/longformer-large-4096	albert-base-v2	albert-large-v2	albert-xlarge-v2	albert-xxlarge-v2	distilbert-base-cased
stair	long	small	False	True	True	True	True	True	True	False	True	True	True	True	True	False	True
eel	edible	inedible	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
eel	edible	toxic	True	True	True	False	False	True	True	True	True	False	True	True	True	False	True
eel	edible	poisonous	True	True	False	False	False	True	False	True	True	False	False	True	False	False	False
coral	abundant	scarce	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
coral	abundant	rare	True	True	True	False	False	True	True	True	False	False	True	True	False	False	True
coral	abundant	lacking	True	True	True	False	False	True	True	True	False	False	True	True	False	False	True
towel	warm	cold	False	True	False	True	True	False	True	True	True	True	True	False	True	False	False
towel	warm	freezing	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True
towel	warm	chilly	True	True	True	True	True	True	True	True	True	True	False	False	False	False	False
stomach	empty	full	True	True	True	False	False	True	True	True	True	True	False	False	False	False	True
bark	thick	thin	False	True	True	False	False	False	True	False	True	False	True	True	False	False	True
sunroof	open	closed	False	True	False	False	False	False	False	False	True	False	True	True	False	False	True
denture	straight	curved	True	True	True	True	True	False	True	True	False	True	False	False	False	True	True
denture	straight	broken	False	True	False	False	False	False	False	True	False	False	False	False	False	False	True
denture	straight	smashed	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True
compost	organic	synthetic	True	True	True	True	True	True	True	True	True	True	True	True	False	False	False
pear	edible	discoloured	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
pear	edible	brown	True	True	True	False	False	True	True	False	True	False	True	True	True	False	True
pear	edible	mushy	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
spacesuit	portable	stuck	True	True	False	False	False	True	True	True	True	False	True	False	False	False	True
pocket	open	closed	False	False	True	False	False	False	False	False	True	False	True	False	True	False	False
gutter	empty	full	True	True	True	False	False	True	True	True	True	False	True	True	False	True	True
lumber	valuable	cheap	False	True	False	False	False	False	False	True	True	False	True	True	False	False	False
lumber	valuable	knotty	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
lumber	valuable	common	True	True	True	False	False	False	False	False	False	False	True	True	True	False	True
coffin	empty	filled	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True
windshield	clear	dirty	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True
windshield	clear	fogged	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False
windshield	clear	icy	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
car door	open	shut	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True
car door	open	closed	True	False	False	False	False	True	True	False	False	False	True	False	True	False	True
car door	open	sealed	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
goalpost	vertical	horizontal	True	True	False	False	False	True	True	True	True	False	False	False	False	False	True
cobra	edible	inedible	True	True	True	False	False	True	True	True	True	False	True	True	False	False	False
cobra	edible	toxic	True	True	False	False	False	True	True	True	True	False	True	True	True	False	True
cobra	edible	poisonous	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False
straw	long	short	False	False	False	True	True	False	True	False	True	True	True	False	True	False	False
straw	long	small	False	True	True	True	True	False	False	False	True	True	True	True	True	False	False
straw	long	tiny	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
doll	alive	plastic	True	True	True	False	False	True	True	True	True	False	True	True	True	False	True
skin	thin	thick	True	True	False	True	True	True	True	True	False	True	True	True	False	False	True
cotton candy	sweet	bitter	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
firecracker	explosive	flammable	True	True	True	False	False	True	True	True	True	False	True	False	False	False	False
soup	hot	cold	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True
vest	long	short	False	False	True	True	True	True	True	False	True	True	True	False	False	False	False
vest	long	small	False	True	True	True	True	True	True	False	True	True	True	True	False	False	False
bomb	dead	functioning	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True
toast	good	bad	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
hyena	prey	attacker	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
hyena	prey	assailant	True	True	True	False	False	True	False	False	True	False	True	True	False	False	False
hyena	prey	assaulted	True	True	True	False	False	True	True	True	True	False	True	False	False	False	True
pepper	edible	hot	True	True	False	False	False	True	True	True	True	False	True	False	False	False	False
pepper	edible	sprouted	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
pepper	edible	sprouting	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
visor	open	closed	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True
visor	open	sealed	True	True	False	True	True	True	True	True	True	True	False	True	False	True	True
sled	empty	full	True	True	True	True	False	True	True	True	False	True	False	False	False	True	True
sled	empty	loaded	True	True	True	False	True	True	True	False	True	False	False	True	False	False	False
lens	transparent	solid	True	True	False	False	False	True	True	True	True	False	True	False	True	False	False
jump rope	elastic	cotton	True	True	True	False	False	True	True	True	True	False	False	False	False	False	True
raisin	edible	inedible	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
nest	small	large	True	True	True	False	True	True	True	True	False	True	False	True	False	False	True
nest	small	huge	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
nest	small	enormous	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
snowboard	portable	portable	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
snowboard	portable	heavy	True	True	False	False	False	True	False	True	False	False	True	False	True	False	True
cornhusk	edible	inedible	True	True	True	False	False	True	True	True	True	False	False	True	False	False	False
pine tree	edible	inedible	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
terrarium	circular	square	True	True	True	False	False	True	True	True	True	False	True	False	True	True	False
valve	open	closed	False	True	False	False	False	False	False	False	False	False	False	False	True	False	True
face	there	missing	False	True	False	True	True	False	False	False	False	True	True	True	False	False	False
cape	large	small	False	True	True	True	True	False	False	False	True	True	False	False	True	True	False
tray	empty	full	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True
tray	empty	stuffed	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True
skewer	sharp	dull	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
squash	edible	buried	True	True	True	False	False	True	True	False	True	False	True	False	False	False	False
squash	edible	pecked	True	True	True	False	False	True	True	True	True	False	True	True	False	False	False
squash	edible	mauled	True	True	True	False	False	True	True	True	True	False	True	True	False	False	False
banana peel	edible	inedible	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
ballot box	empty	full	True	True	True	False	False	True	True	True	False	True	False	False	True	True	True
suitcase	full	empty	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False
boy	there	here	True	True	False	False	False	False	True	True	False	False	True	True	False	False	False
juicer	empty	full	True	True	True	False	False	True	True	True	False	True	False	False	False	True	True
milk	warm	cold	False	True	False	False	True	False	False	False	True	True	True	False	True	False	False
snake	poisonous	safe	True	True	True	False	False	True	True	True	True	False	True	False	True	False	True
mouth	wide	small	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True
mouth	wide	tight	True	True	True	True	False	True	True	True	True	True	True	False	False	False	True
mug	full	empty	False	False	False	False	True	False	False	False	True	False	True	True	False	False	False
cuckoo clock	universal	localized	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True
satellite	operational	inoperable	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
frog	poisonous	edible	True	False	True	False	False	True	True	False	False	False	True	False	False	False	True
bucket	heavy	light	True	True	True	True	False	True	True	True	True	False	True	True	True	True	True
bucket	heavy	lightweight	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
keg	empty	full	True	True	True	True	False	True	True	True	True	True	False	False	True	True	True
keg	empty	stuffed	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True
keg	empty	overflowing	True	True	True	True	True	True	False	True	True	True	False	False	True	True	True
odometer	accurate	inaccurate	False	True	True	False	False	False	True	True	True	False	False	True	False	False	False
porthole	empty	full	True	True	True	True	False	True	True	True	False	True	False	False	False	True	True
camcorder	portable	stuck	True	True	True	False	False	True	True	True	True	False	True	False	False	False	True
cocktail	simple	fancy	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True
cocktail	simple	complicated	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True
cocktail	simple	complex	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True
face	real	fake	True	True	True	False	True	False	True	False	True	True	True	True	False	True	True
baby	healthy	sick	True	True	True	True	True	True	True	True	True	True	False	False	False	False	False
baby	healthy	unhealthy	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True
baby	healthy	sickly	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True
leaf	hollow	elevated	True	True	True	False	False	True	True	True	True	False	False	False	False	False	True
chin	swollen	healthy	True	True	True	False	False	True	True	True	True	False	True	False	False	False	True
chin	swollen	normal	True	True	True	False	False	True	True	False	False	False	True	True	True	False	True
chin	swollen	healed	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
roadsweeper	human	nonsentient	True	True	True	True	True	False	False	True	True	True	True	False	False	True	False
beetle	poisonous	safe	True	True	True	False	False	True	True	True	True	False	True	True	True	False	True
beetle	poisonous	harmless	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
beetle	poisonous	non-toxic	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
crab	prey	predatory	False	True	False	False	False	False	False	False	False	False	True	False	False	False	True
crab	prey	aggressive	False	True	False	False	False	False	False	False	False	False	True	False	False	False	True
crab	prey	carnivorous	True	True	True	False	False	True	True	True	True	False	True	False	False	False	False
basketball hoop	circular	triangular	True	True	True	False	False	True	True	True	True	False	False	False	False	True	True
basketball hoop	circular	square	True	True	True	False	False	True	True	False	True	False	False	False	True	True	False
basketball hoop	circular	oblong	True	True	True	False	False	True	True	True	True	False	False	False	False	True	False
spam	harmless	carcinogen	True	True	True	False	False	True	False	True	True	False	True	False	False	False	True
spam	harmless	contaminated	True	True	True	False	False	True	False	True	True	False	True	False	False	False	True
spam	harmless	allergen	True	True	True	False	False	True	False	True	True	False	True	False	False	False	True
cooker	hot	cold	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True
cooker	hot	warm	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True
nail polish	expensive	free	True	True	False	True	False	True	True	True	False	False	True	False	False	False	False
bok choy	Korean	chinese	False	True	True	False	False	False	True	False	True	False	False	False	True	False	False
bok choy	Korean	local	True	True	False	False	False	False	True	False	True	False	False	True	True	False	True
train car	open	closed	False	True	False	False	False	False	True	False	False	False	False	False	False	False	True
train car	open	unavailable	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True
train car	open	gone	True	True	True	False	False	True	True	True	True	False	False	False	False	True	True
butter	warm	cold	False	True	False	False	True	True	False	False	False	True	True	False	True	False	False
silverware	gold	silver	False	False	True	True	True	False	False	False	True	False	False	False	False	False	False
silverware	gold	steel	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True
silverware	gold	aluminum	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True
sink	open	closed	False	True	True	False	False	False	False	True	True	False	True	False	False	False	True
shower cap	plastic	organic	True	True	True	False	False	True	True	True	True	False	False	False	True	True	True
shower cap	plastic	rigid	True	True	True	False	False	True	True	True	True	False	True	True	True	True	True
suitcase	open	closed	False	True	True	False	False	False	False	True	True	False	False	False	True	False	False
suitcase	open	shut	True	True	True	True	False	True	True	True	True	True	True	False	True	True	True
bazooka	amphibious	land-locked	True	True	False	False	False	True	False	True	False	False	False	True	False	False	False
tee	clear	white	False	False	True	True	False	False	False	False	False	False	True	True	False	False	True
first-aid kit	available	unavailable	True	True	True	True	True	True	True	True	True	True	False	True	False	False	True
creme brulee	edible	inedible	True	True	True	False	False	True	False	True	True	False	True	True	False	False	False
turbine	vertical	horizontal	True	True	False	False	False	False	True	False	True	False	False	True	False	False	False
paper	free	expensive	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
paper	free	costly	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
paper	free	charged	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
radish	edible	inedible	True	True	True	False	False	True	False	True	True	False	True	True	False	False	False
ice cube	cold	melted	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True
potato	vegetable	fruit	True	True	True	False	False	True	False	True	True	False	False	True	True	False	True
potato	vegetable	meat	True	True	False	False	False	True	False	True	True	False	False	False	False	False	True
origami	ancient	modern	True	True	True	False	False	True	False	True	False	False	True	False	True	True	False
origami	ancient	new	False	True	False	False	False	False	False	True	False	False	True	True	False	True	False
sand	soft	hard	True	True	True	True	False	True	True	True	True	True	True	False	False	True	False
handle	curved	straight	True	False	False	False	False	True	False	True	True	False	True	False	True	False	False
hot tub	hot	cold	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True
pan	cold	hot	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False
pan	cold	warm	True	True	False	False	False	True	True	True	False	False	False	True	False	True	True
silicone	stable	unstable	False	True	False	True	True	False	True	True	False	True	True	False	False	False	False
silicone	stable	violate	True	True	True	True	True	True	True	True	True	True	True	False	False	False	True
vent	vertical	sideways	True	True	True	False	False	True	True	True	True	False	True	False	False	False	True
vent	vertical	horizontal	True	True	True	False	False	True	True	True	True	False	False	False	False	False	True
silverware	silver	gold	True	True	False	False	False	True	True	True	False	True	True	True	True	True	True
silverware	silver	platinum	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True
sushi	simple	complex	True	True	True	True	True	True	True	True	False	True	True	False	False	True	True
sushi	simple	confusing	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True
sushi	simple	crazy	True	True	True	True	False	True	True	True	True	True	True	False	False	True	True
juice	good	bad	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
shortbread	short	long	True	True	True	False	False	True	False	True	False	False	False	True	True	True	True
whipped cream	edible	inedible	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
braid	long	short	False	True	True	True	True	False	True	False	True	True	True	False	True	False	False
braid	long	cut	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True
braid	long	small	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True
ice cream	delicious	melted	True	True	True	False	False	True	False	True	True	False	True	True	False	False	True
snack	delicious	horrible	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
snack	delicious	nasty	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
snack	delicious	rotten	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
target	visible	invisible	False	False	False	True	True	True	False	False	True	True	True	False	False	False	True
counter	empty	full	True	True	True	False	False	True	True	True	False	True	True	False	True	True	True
counter	empty	filled	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True
cage	empty	full	True	True	True	False	True	True	True	True	True	True	False	True	False	True	True
cage	empty	stuffed	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True
cage	empty	overflowing	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
computer	dead	working	True	True	True	False	True	False	False	True	False	False	False	False	True	True	False
computer	dead	fixed	True	True	True	True	True	False	False	True	False	True	False	True	True	True	True
computer	dead	operable	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
sheet	empty	filled	True	True	True	True	False	True	False	True	True	False	False	True	False	True	True
banana	edible	inedible	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
sailboat	unique	ordinary	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True
sailboat	unique	regulation	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True
sailboat	unique	boring	True	True	True	True	True	True	True	True	True	True	True	False	False	False	True
tiara	gold	silver	False	True	True	True	True	True	True	True	True	True	True	False	False	False	True
tiara	gold	platinum	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True
cordon bleu	French	american	True	True	True	True	True	True	True	False	True	True	False	False	True	False	False
dough	thick	thin	False	False	True	False	False	False	False	True	True	False	True	False	False	False	False
dough	thick	skinny	True	True	True	False	False	True	True	True	True	False	True	False	False	False	True
dough	thick	slim	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
altar	high	low	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True
bucket	full	empty	False	False	False	True	False	False	False	False	False	False	False	True	True	False	False
bucket	full	vacant	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True
bucket	full	unused	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
skirt	short	long	True	True	True	False	False	True	False	True	False	False	False	True	True	True	True
hair	long	short	False	True	True	True	True	False	True	False	True	True	True	False	True	False	False
trombone	musical	broken	True	True	False	False	False	False	True	False	False	False	True	False	False	False	False
trombone	musical	rusted	True	True	True	False	False	True	True	True	True	False	True	False	True	True	False
trombone	musical	fake	True	True	True	False	False	True	True	True	True	False	True	False	True	True	True
sawhorse	extinct	alive	True	True	False	False	False	True	True	True	True	False	True	False	False	False	True
turkey	extinct	alive	True	True	False	False	False	True	False	True	True	False	True	False	False	False	True
turkey	extinct	existing	True	True	True	False	True	True	True	True	True	False	True	True	True	False	True
turkey	extinct	available	True	True	False	False	False	True	True	True	False	False	True	True	False	False	False
tick	there	here	True	False	False	False	False	False	False	True	False	False	True	True	False	False	False
tick	there	near	True	True	True	True	True	True	False	True	False	False	True	True	True	True	True
tick	there	away	True	True	True	False	False	True	False	True	True	False	True	True	False	True	True
record	incomplete	finished	True	True	True	False	False	True	True	True	True	False	True	False	False	False	True
woman	dead	alive	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True
woman	dead	breathing	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True
woman	dead	talking	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True
cinnamon	sweet	sour	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
cinnamon	sweet	bitter	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
soccer ball	plastic	cloth	True	True	True	False	True	True	True	True	True	False	False	True	True	True	True
toothbrush	important	important	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
doll	dead	alive	True	False	True	True	True	True	True	True	True	True	False	False	False	True	True
doll	dead	conscious	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
papaya	perennial	annual	True	True	True	False	False	True	True	True	True	False	True	True	True	False	False
crucifix	large	small	False	False	True	True	True	False	False	False	True	True	True	True	True	True	False
hand	empty	closed	True	True	True	False	False	True	False	False	False	False	True	False	True	True	True
syrup	sweet	bland	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
mouse	small	large	True	False	True	False	False	True	True	True	True	True	False	True	False	True	True
mouse	small	huge	True	True	True	True	True	True	True	True	True	True	False	False	False	True	True
mouse	small	gigantic	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True
panda	large	small	False	True	True	True	True	False	False	False	False	True	True	False	True	False	False
knitting needle	circular	rectangular	True	True	True	False	False	True	True	True	True	False	False	False	False	True	True
knitting needle	circular	triangular	True	True	True	False	False	True	True	True	True	False	True	False	False	True	True
knitting needle	circular	flat	False	True	False	False	False	True	False	False	False	False	False	False	False	True	True
curb	wide	narrow	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True
mallet	heavy	light	True	True	True	False	False	True	False	True	False	False	True	True	True	True	True
barrette	flat	curved	True	True	True	True	True	True	True	True	True	True	False	True	False	True	False
barrette	flat	bent	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True
biscuit	thin	thick	True	True	False	True	True	True	False	False	False	True	False	True	False	False	True
biscuit	thin	plump	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True
biscuit	thin	fat	True	True	True	True	False	True	False	True	True	True	True	False	True	False	True
stew	delicious	disgusting	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
stew	delicious	sickening	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
stew	delicious	revolting	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
coyote	extinct	common	True	True	True	False	False	True	True	True	True	False	True	True	True	False	True
coyote	extinct	existent	True	True	True	False	True	True	True	True	True	False	True	True	True	False	True
coyote	extinct	present	True	True	True	False	False	True	False	False	True	False	True	True	True	False	True
figurine	gold	silver	False	True	True	True	True	False	False	False	True	False	False	False	False	False	True
figurine	gold	iron	True	True	True	True	True	True	False	True	True	False	True	True	False	False	True
figurine	gold	plastic	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True
mustache	long	short	False	False	True	True	True	True	True	False	True	True	True	False	True	False	False
mustache	long	trimmed	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True
gutter	wet	dry	False	True	False	False	False	False	False	False	False	False	True	True	True	False	True
hair	short	long	True	False	False	False	False	True	False	True	False	False	False	True	False	True	True
hair	short	lengthy	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
solar panel	passive	active	True	True	False	False	False	True	False	False	False	False	False	False	True	False	True
pet food	edible	inedible	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
pet food	edible	poisonous	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
pet food	edible	spoiled	True	True	False	False	False	True	True	True	True	False	True	True	False	False	True
rhubarb	edible	inedible	True	True	True	False	False	True	False	True	True	False	True	True	False	False	False
taffy	cold	warm	True	True	False	False	False	False	True	True	False	False	False	True	False	True	True
taffy	cold	hot	True	True	False	False	False	False	True	False	False	False	False	False	False	False	False
chalice	empty	full	True	True	True	True	False	True	True	True	True	True	False	False	True	True	True
cornucopia	long	short	False	True	True	True	True	False	True	False	True	True	True	False	True	True	False
totem pole	ceremonial	informal	True	True	True	False	False	True	True	True	True	False	False	False	False	False	True
totem pole	ceremonial	casual	True	True	True	False	False	True	True	True	True	False	False	False	False	False	True
totem pole	ceremonial	ordinary	True	True	True	False	True	True	True	True	True	False	True	True	True	False	False
aluminum foil	transparent	opaque	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
whoopee cushion	popular	unpopular	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
projector	portable	heavy	True	True	True	False	False	True	True	True	True	False	True	False	True	False	True
scalpel	long	short	False	True	False	True	True	False	True	False	True	True	True	False	False	False	False
scalpel	long	tiny	True	True	False	True	True	True	True	True	True	True	True	True	False	True	True
scalpel	long	miniature	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
dial	right	wrong	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True
dial	right	off	True	True	False	False	False	True	True	True	True	False	False	False	False	True	True
dial	right	broken	False	True	True	False	False	False	True	True	True	False	False	False	False	False	True
sandwich	good	bad	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
corset	elastic	boned	True	True	True	False	False	True	False	True	True	False	False	False	False	False	False
corset	elastic	stiff	False	True	True	False	False	True	False	True	True	False	False	False	False	False	True
corset	elastic	tight	False	True	False	False	False	False	False	True	True	False	True	True	False	False	False
coffeemaker	simple	complicated	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
coffeemaker	simple	programmable	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False
coffeemaker	simple	timed	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
yacht	empty	full	True	True	True	True	True	True	True	True	False	True	False	False	True	True	False
vase	empty	full	True	True	True	True	False	True	True	True	True	True	False	False	True	True	True
knee	swollen	inflamed	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
triangle	convex	concave	True	True	False	False	False	True	True	True	False	False	False	True	False	False	True
spam	illegal	homemade	True	True	True	True	True	True	True	True	True	True	False	False	False	False	True
spam	illegal	domestic	True	True	True	True	True	True	True	True	True	True	True	False	False	False	True
palm tree	tropical	deciduous	False	True	True	False	False	False	False	False	True	False	False	False	False	True	True
chimney	high	low	False	True	True	True	True	True	True	False	True	True	False	True	True	False	True
spear	sharp	dull	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True
pinecone	edible	inedible	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
piggy bank	free	expensive	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
praying mantis	poisonous	safe	True	True	True	False	False	True	True	True	True	False	True	True	True	False	True
patty	edible	inedible	True	True	True	False	False	True	True	True	True	False	True	True	False	False	False
patty	edible	uneatable	True	True	True	False	False	True	True	True	True	False	True	True	False	False	False
patty	edible	rotten	True	True	True	False	False	True	False	True	True	False	True	True	False	False	False
soy sauce	edible	inedible	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
springboard	vertical	horizontal	True	True	True	False	False	False	True	True	True	False	False	True	False	False	True
springboard	vertical	sideways	True	True	True	False	False	True	True	True	True	False	True	True	False	False	True
teacup	empty	filled	True	True	True	True	False	True	True	True	True	False	False	False	True	True	True
platypus	small	large	True	True	True	False	False	True	True	True	True	True	False	True	False	False	True
toothbrush	long	short	False	True	False	True	True	False	True	False	True	True	True	False	False	False	False
shortbread	long	short	False	False	False	True	True	False	True	False	True	True	True	False	False	False	False
shortbread	long	average	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True
shortbread	long	conventional	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True
hot-water bottle	plastic	metal	True	True	True	False	False	True	True	True	True	False	True	True	False	True	True
water bottle	empty	full	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True
swimming pool	open	closed	True	True	True	False	False	True	True	True	True	False	True	False	True	True	True
