Word	Associative Bias	Alternative	context_sentence	biased_word_context	adversarial_word_context	masked_context_sentence	masked_outcome_sentence
scalpel	long	miniature	The scalpel was made to be used in a [dollhouse/hospital].	hospital	dollhouse	The scalpel was made to be used in a [MASK].	The scalpel is [MASK].
iron	heavy	light	The iron [pressed/glided] over the wrinkles.	pressed	glided	The iron [MASK] over the wrinkles.	The iron is [MASK].
scoreboard	complete	incomplete	We noticed the numbers on the scoreboard were [updated/tentative].	updated	tentative	We noticed the numbers on the scoreboard were [MASK].	The scoreboard is [MASK].
wedding cake	edible	inedible	The guests at our wedding were [eating/discarding] the slices of wedding cake.	eating	discarding	The guests at our wedding were [MASK] the slices of wedding cake.	The wedding cake is [MASK].
yogurt	sweet	sour	Jane found the yogurt hidden in the back of the fridge, [days/months] after purchasing it.	days	months	Jane found the yogurt hidden in the back of the fridge, [MASK] after purchasing it.	The yogurt is [MASK].
lamppost	tall	short	In order to change the bulb in the lamppost, the man used a [ladder/stepstool].	ladder	stepstool	In order to change the bulb in the lamppost, the man used a [MASK].	The lamppost is [MASK].
spear	long	stubby	The spear in the forest was six [feet/inches] tall.	feet	inches	The spear in the forest was six [MASK] tall.	The spear is [MASK].
spoon	empty	filled	John has been [finished/enjoying] eating his soup.	finished	enjoying	John has been [MASK] eating his soup.	The spoon is [MASK].
life jacket	optional	mandatory	The pilot [recommended/insisted] we wear the life jacket.	recommended	insisted	The pilot [MASK] we wear the life jacket.	The life jacket is [MASK].
cocoon	elastic	unbending	Bill squeezed the cocoon and it [flattened/shattered].	flattered	shattered	Bill squeezed the cocoon and it [MASK].	The cocoon is [MASK].
blackberry	edible	rancid	The blackberry was [plump/shriveled].	plump	shriveled	The blackberry was [MASK].	The blackberry is [MASK].
raincoat	wet	dry	Bill cleaned up the raincoat with a [towel/duster].	towel	duster	Bill cleaned up the raincoat with a [MASK].	The raincoat is [MASK].
hot tub	free	expensive	The hot tub was [unimpressive/impressive].	unimpressive	impressive	The hot tub was [MASK].	The hot tub is [MASK].
makeup	perfect	ugly	Bill told his wife her make up looked [runny/clean].	Clean 	Runny	Bill told his wife her make up looked [MASK].	The makeup is [MASK].
peppermint	poisonous	farmed	The professor showed the class a [toxic/manmade] mushroom.	toxic	manmade	The professor showed the class a [MASK] mushroom.	The peppermint is [MASK].
plug	empty	full	Marco's laptop charger is [unplugged/charging].	unplugged	charging	Marco's laptop charger is [MASK].	The plug is [MASK].
eclair	edible	runny	The cream for the eclair formed [peaks/rivulets].	peaks	rivulets	The cream for the eclair formed [MASK].	The eclair is [MASK].
grater	circular	square	The cheese was coming out [round/angular] when grating.	round	angular	The cheese was coming out [MASK] when grating.	The grater is [MASK].
cuckoo clock	ancient	modern	The cuckoo clock was powered by [springs/electricity].	springs	electricity	The cuckoo clock was powered by [MASK].	The cuckoo clock is [MASK].
avocado	edible	baby	The avocado was the size of a [pear/acorn].	pear	acorn	The avocado was the size of a [MASK].	The avocado is [MASK].
scooter	portable	heavy	Sarah could pick up the scooter with her [arm/forklift].	arm	forklift	Sarah could pick up the scooter with her [MASK].	The scooter is [MASK].
swing	vertical	horizontal	The swing was moving [forward/sideways] when mark was on it.	forward	sideways	The swing was moving [MASK] when mark was on it.	The swing is [MASK].
grater	large	tiny	This grater is good for a [great/minimal] volume of food.	great	minimal	This grater is good for a [MASK] volume of food.	The grater is [MASK].
dustpan	empty	full	The dustpan was [light/heavy] when Anna picked it up.	light	heavy	The dustpan was [MASK] when Anna picked it up.	The dustpan is [MASK].
papaya	edible	inedible	We decided the papya is [food/waste].	food	waste	We decided the papya is [MASK].	The papaya is [MASK].
chair	empty	full	John saw that the chair was [occupied/free].	free	occupied	John saw that the chair was [MASK].	The chair is [MASK].
thumb	swollen	normal	The thumb was the color of a [tomato/onion].	tomato	onion	The thumb was the color of a [MASK].	The thumb is [MASK].
outlet	free	expensive	Mike could not [afford/avoid] charging his phone at this outlet.	avoid	afford	Mike could not [MASK] charging his phone at this outlet.	The outlet is [MASK].
coin	gold	copper	I carry around a [silver/wooden] coin.	silver	wooden	I carry around a [MASK] coin.	The coin is [MASK].
shrimp	poisonous	healthy	The shrimp has been covered in [arsenic/avocado].	arsenic	avocado	The shrimp has been covered in [MASK].	The shrimp is [MASK].
skunk	edible	harmful	The lion approached the skunk, not sure whether or not it was [digestible/foul] for nutritional consumption.	digestible	foul 	The lion approached the skunk, not sure whether or not it was [MASK] for nutritional consumption.	The skunk is [MASK].
pine needle	edible	poisonous	The guidebook gave a [recipe/warning] for cooking them.	recipe	warning	The guidebook gave a [MASK] for cooking them.	The pine needle is [MASK].
typewriter	portable	fixed	Patrick's typewriter is at his [house/prison].	house	prison	Patrick's typewriter is at his [MASK].	The typewriter is [MASK].
wagon	empty	full	Bill left the door of the wagon open and [everything/nothing] fell out.	nothing	everything	Bill left the door of the wagon open and [MASK] fell out.	The wagon is [MASK].
pallet	empty	full	The pallet could be moved by a [man/forklight].	man	forklight	The pallet could be moved by a [MASK].	The pallet is [MASK].
lectern	circular	elaborate	Bill's lectern had [many/no] edges.	no	many	Bill's lectern had [MASK] edges.	The lectern is [MASK].
skewer	long	replica	The skewer was made from [real/plastic] ingredients.	real	plastic	The skewer was made from [MASK] ingredients.	The skewer is [MASK].
pine tree	extinct	alive	All of the pine trees are [dead/growing].	dead	growing	All of the pine trees are [MASK].	The pine tree is [MASK].
soup	ready	unprepared	The pot was filled with [finished/uncooked] soup.	finished	uncooked	The pot was filled with [MASK] soup.	The soup is [MASK].
flamingo	extinct	thriving	The park was known to have [no/many] flamingos living there.	no	many	The park was known to have [MASK] flamingos living there.	The flamingo is [MASK].
coffeemaker	simple	programmable	Mike's new coffeemaker included a [filter/computer].	filter	computer	Mike's new coffeemaker included a [MASK].	The coffeemaker is [MASK].
prism	transparent	filmy	Bring me a [clear/clouded] prism.	clear	clouded	Bring me a [MASK] prism.	The prism is [MASK].
sarcophagus	hollow	filled	The found the sarcophagus to be [empty/occupied].	empty	occupied	The found the sarcophagus to be [MASK].	The sarcophagus is [MASK].
spout	open	closed	The plumbing is [flowing/obstructed] from the spout.	flowing	obstructed	The plumbing is [MASK] from the spout.	The spout is [MASK].
coffin	open	shut	The coffin store showed coffins with [wood/cloth] for choices.	wood	cloth	The coffin store showed coffins with [MASK] for choices.	The coffin is [MASK].
mast	tall	flattened	The ship was [sailing/sinking].	sailing	sinking	The ship was [MASK].	The mast is [MASK].
iron	iron	aluminum	The iron was designed to be [heavy/light].	heavy	light	The iron was designed to be [MASK].	The iron is [MASK].
hawk	large	miniscule	There was a [humongous/teeny] hawk overhead.	humongous	teeny	There was a [MASK] hawk overhead.	The hawk is [MASK].
fern	edible	indigestible	The lizard tasted the fern and it was [fantastic/acidic].	fantastic	acidic	The lizard tasted the fern and it was [MASK].	The fern is [MASK].
wasp	important	unimportant	Considering the amount of pest control needed may determine how [vital/nonessential] the wasp is in the ecosystem.	vital	nonessential	Considering the amount of pest control needed may determine how [MASK] the wasp is in the ecosystem.	The wasp is [MASK].
oar	long	short	Mike paddled the oar, barely scraping the lake [surface/bed] with each stroke.	bed	surface	Mike paddled the oar, barely scraping the lake [MASK] with each stroke.	The oar is [MASK].
lemonade	bitter	sweet	Mark brought some [acidic/sugary] lemonade to lunch.	acidic	sugary	Mark brought some [MASK] lemonade to lunch.	The lemonade is [MASK].
diving board	plastic	composite	The diving board was manufactured from [one/several] substances.	one	several	The diving board was manufactured from [MASK] substances.	The diving board is [MASK].
chute	straight	curved	Mary could see the [bottom/side] of the clothes chute.	Bottom	Side	Mary could see the [MASK] of the clothes chute.	The chute is [MASK].
snowmobile	portable	immobile	Rob's snowmobile was full of [gas/water].	gas	water	Rob's snowmobile was full of [MASK].	The snowmobile is [MASK].
yogurt	edible	inedible	The yogurt's expiration date was [two/forty] days ago.	two	forty	The yogurt's expiration date was [MASK] days ago.	The yogurt is [MASK].
water cooler	portable	enormous	The water cooler took up half of the [shelf/building].	shelf	building	The water cooler took up half of the [MASK].	The water cooler is [MASK].
exerciser	passive	active	My dad is an exerciser that is [unassertive/vigorous].	unassertive	vigorous	My dad is an exerciser that is [MASK].	The exerciser is [MASK].
television	good	bad	The TV was showing [premieres/reruns].	premieres	reruns	The TV was showing [MASK].	The television is [MASK].
chute	open	shut	Susan jumped in the escape chute and got [stuck/out].	out	stuck	Susan jumped in the escape chute and got [MASK].	The chute is [MASK].
totem pole	ceremonial	casual	The totem pole Gabby saw was an/a [original/replica].	original	replica	The totem pole Gabby saw was an/a [MASK].	The totem pole is [MASK].
panda	edible	inedible	Martin overheard the dead panda would be [cooked/buried].	cooked	buried	Martin overheard the dead panda would be [MASK].	The panda is [MASK].
polar bear	extinct	alive	The biologist was [sad/happy] about the polar bear.	sad	happy	The biologist was [MASK] about the polar bear.	The polar bear is [MASK].
buoy	empty	stuffed	The buoy will [float/explode].	float	explode	The buoy will [MASK].	The buoy is [MASK].
iguana	extinct	dormant	The guide said the iguana is generally [absent/hidden].	absent	hidden	The guide said the iguana is generally [MASK].	The iguana is [MASK].
cigarette butt	empty	full	The cigarette butt laid in the [lake/street].	lake	street	The cigarette butt laid in the [MASK].	The cigarette butt is [MASK].
turf	artificial	grass	While golfing, Richard noticed the turf was [plastic/growing].	plastic	growing	While golfing, Richard noticed the turf was [MASK].	The turf is [MASK].
soldering iron	hot	cold	The soldiering iron was [useful/ineffective] in melting the metal.	useful	ineffective	The soldiering iron was [MASK] in melting the metal.	The soldering iron is [MASK].
pie	perfect	imperfect	Susan was [unsure/confident] that she finally had her pie recipe just the way she wanted.	confident	unsure	Susan was [MASK] that she finally had her pie recipe just the way she wanted.	The pie is [MASK].
train car	empty	full	The train car was [gaining/losing] speed because of the cargo cars.	gaining	losing	The train car was [MASK] speed because of the cargo cars.	The train car is [MASK].
couch	warm	freezing	Jane left the couch in the [lounge/yard] overnight.	lounge	yard	Jane left the couch in the [MASK] overnight.	The couch is [MASK].
peanut	edible	seedling	The peanut is in the [bowl/dirt].	bowl	dirt	The peanut is in the [MASK].	The peanut is [MASK].
grasshopper	small	huge	Angelo looked at the [adorable/monolithic] grasshopper.	adorable	monolithic	Angelo looked at the [MASK] grasshopper.	The grasshopper is [MASK].
inhaler	portable	immobile	John's inhaler was [close/glued] to his desk.	close	glued	John's inhaler was [MASK] to his desk.	The inhaler is [MASK].
windshield wiper	automatic	manual	The [crank/motor] that drove the windshield wiper was broken.	motor	crank	The [MASK] that drove the windshield wiper was broken.	The windshield wiper is [MASK].
coral	abundant	scarce	Jenny paid a [little/lot] for her coral necklace.	little	lot	Jenny paid a [MASK] for her coral necklace.	The coral is [MASK].
figurine	small	huge	Jane brought the figurine home in her [pocket/truck].	pocket	truck	Jane brought the figurine home in her [MASK].	The figurine is [MASK].
treasure	empty	full	Upon opening the buried treasure, the divers' anticipation resulted in [misfortune/celebration].	misfortune	celebration	Upon opening the buried treasure, the divers' anticipation resulted in [MASK].	The treasure is [MASK].
hinge	vertical	flat	For that type of door, you will need to purchase a(n) [upright/lying] hinge.	upright	lying	For that type of door, you will need to purchase a(n) [MASK] hinge.	The hinge is [MASK].
iguana	extinct	alive	The iguana was [displayed/running] on the cover of the biology textbook.	displayed	running	The iguana was [MASK] on the cover of the biology textbook.	The iguana is [MASK].
board game	popular	unpopular	It was [easy/hard] to find enough people to play the board game.	easy	hard	It was [MASK] to find enough people to play the board game.	The board game is [MASK].
kayak	portable	cumbersome	I was able to [toss/heave] the kayak into the truck.	toss	heave	I was able to [MASK] the kayak into the truck.	The kayak is [MASK].
sewing kit	expensive	cheap	I had to pay a [lot/little] for the sewing kit.	lot	little	I had to pay a [MASK] for the sewing kit.	The sewing kit is [MASK].
olive	edible	inedible	The olive is sitting in the [salad/compost].	salad	compost	The olive is sitting in the [MASK].	The olive is [MASK].
cufflink	gold	silver	The cufflink [matched/clashed] with the aluminum counter.	matched	clashed	The cufflink [MASK] with the aluminum counter.	The cufflink is [MASK].
cord	elastic	stiff	Mark bought a new lamp and the cord was [bending/thick].	bending	thick	Mark bought a new lamp and the cord was [MASK].	The cord is [MASK].
cream cheese	edible	spoiled	I used cream cheese that was [fresh/moldy].	fresh	moldy	I used cream cheese that was [MASK].	The cream cheese is [MASK].
shell	smooth	jagged	Jim touched the [sharp/polished] surface of the shell.	polished	sharp	Jim touched the [MASK] surface of the shell.	The shell is [MASK].
kayak	portable	fixed	The location of the kayak is [temporary/permanent].	temporary	permanent	The location of the kayak is [MASK].	The kayak is [MASK].
starfish	edible	inedible	Susan [enjoyed/discarded] the starfish soup.	enjoyed	discarded	Susan [MASK] the starfish soup.	The starfish is [MASK].
tattoo	real	unreal	The tattoo was on the [man/child].	man	child	The tattoo was on the [MASK].	The tattoo is [MASK].
scallop	amphibious	mollusk-like	The scallop is alive on [land/coral].	land	coral	The scallop is alive on [MASK].	The scallop is [MASK].
car seat	comfortable	cramped	The four-year-old was sitting in a car seat designed for a [four/two]-year-old.	four	two	The four-year-old was sitting in a car seat designed for a [MASK]-year-old.	The car seat is [MASK].
pan	hot	cold	Regina [screamed/shivered] when she picked up the pan.	screamed	shivered	Regina [MASK] when she picked up the pan.	The pan is [MASK].
fig	edible	rotten	Mike picked the fig off the [tree/ground].	tree	ground	Mike picked the fig off the [MASK].	The fig is [MASK].
flamingo	extinct	living	Mark took pictures of the landscape noticing the color [blue/pink] in the lake.	Blue	Pink	Mark took pictures of the landscape noticing the color [MASK] in the lake.	The flamingo is [MASK].
stalagmite	solid	crumbling	In the cave, we found [hard/brittle] stalagmite.	hard	brittle	In the cave, we found [MASK] stalagmite.	The stalagmite is [MASK].
shortbread	short	long	There was a [square/bar] of shortbread on the plate.	square	bar	There was a [MASK] of shortbread on the plate.	The shortbread is [MASK].
scale	linear	curvy	Jill stood on a [straight/wavy] scale.	straight	wavy	Jill stood on a [MASK] scale.	The scale is [MASK].
hinge	vertical	slanted	The door opened [correctly/angled] from it's hinge.	correctly	angled	The door opened [MASK] from it's hinge.	The hinge is [MASK].
odometer	accurate	inaccurate	Steph confirmed that her odometer was [correct/wrong] by measuring the distance on Google Earth.	correct	wrong	Steph confirmed that her odometer was [MASK] by measuring the distance on Google Earth.	The odometer is [MASK].
nose	large	small	The child pointed at the woman with the [enormous/tiny] nose.	enormous	tiny	The child pointed at the woman with the [MASK] nose.	The nose is [MASK].
scorpion	edible	harmful	Eating a scorpion will [sustain/kill] you.	sustain	kill	Eating a scorpion will [MASK] you.	The scorpion is [MASK].
hockey stick	wooden	metallic	Jill tapped the hockey stick on the ground to produce a resounding [thud/clang].	thud	clang	Jill tapped the hockey stick on the ground to produce a resounding [MASK].	The hockey stick is [MASK].
bathtub	cold	warm	When I got out, the bathtub was [frigid/cozy].	frigid	cozy	When I got out, the bathtub was [MASK].	The bathtub is [MASK].
pot	empty	full	Mike had just [finished/started] the soup in the pot.	finished	started	Mike had just [MASK] the soup in the pot.	The pot is [MASK].
wrap	elastic	solid	Mike pulled the wrap tight and it [stretched/tore].	stretched	tore	Mike pulled the wrap tight and it [MASK].	The wrap is [MASK].
yo-yo	round	square	The yo-yo has a [circumference/corner].	circumference	corner	The yo-yo has a [MASK].	The yo-yo is [MASK].
thorn	sharp	soft	It was [painful/comfortable] to hold the thorn.	painful	comfortable	It was [MASK] to hold the thorn.	The thorn is [MASK].
pipe	long	short	Ryan cut the pipe to the length of the [car/bat] so it would fit.	car	bat	Ryan cut the pipe to the length of the [MASK] so it would fit.	The pipe is [MASK].
tripod	portable	screwed	Jan tried to pick up the tripod and was [successful/disappointed].	successful	disappointed	Jan tried to pick up the tripod and was [MASK].	The tripod is [MASK].
loveseat	here	elsewhere	The loveseat has [arrived/shipped].	arrived	shipped	The loveseat has [MASK].	The loveseat is [MASK].
barrel	long	tiny	The barrel was [heavy/light].	heavy	light	The barrel was [MASK].	The barrel is [MASK].
cot	empty	sagging	Jacob was [standing/sleeping] in his room with a cot.	standing	sleeping	Jacob was [MASK] in his room with a cot.	The cot is [MASK].
teacup	empty	filled	It is the [beginning/end] of tea time.	beginning	end	It is the [MASK] of tea time.	The teacup is [MASK].
mug	empty	full	Jenny's mug is [clean/steaming].	clean	steaming	Jenny's mug is [MASK].	The mug is [MASK].
hip	there	far	I found the hip to be [close/distant].	close	distant	I found the hip to be [MASK].	The hip is [MASK].
wine	good	off	The old wine John found in the cellar is [pleasant/odd] tasting.	pleasant	odd	The old wine John found in the cellar is [MASK] tasting.	The wine is [MASK].
valve	vertical	horizontal	The water shot from the mouth of the valve [up/sideways] into the room.	up	sideways	The water shot from the mouth of the valve [MASK] into the room.	The valve is [MASK].
soup	delicious	bad	She served soup that was [yummy/gross].	yummy	gross	She served soup that was [MASK].	The soup is [MASK].
puppy	dead	alive	Tim noticed the puppy was [laying/running] in the field.	laying	running	Tim noticed the puppy was [MASK] in the field.	The puppy is [MASK].
wall	high	low	Steve [wondered/watched] what was going on in the neighbor's garden.	wondered	watched	Steve [MASK] what was going on in the neighbor's garden.	The wall is [MASK].
skeleton	human	inhuman	After Susan found the skeleton in her garden she called the [police/museum].	police	museum	After Susan found the skeleton in her garden she called the [MASK].	The skeleton is [MASK].
game	simple	complex	The game of chess can be played by [beginners/experts].	beginners	experts	The game of chess can be played by [MASK].	The game is [MASK].
oven	cold	warm	I put the bread dough in the oven and when I came back an hour later it was [flat/risen].	flat	risen	I put the bread dough in the oven and when I came back an hour later it was [MASK].	The oven is [MASK].
scoreboard	accurate	wrong	The scoreboard [updated/crashed] after every goal.	updated	crashed	The scoreboard [MASK] after every goal.	The scoreboard is [MASK].
boulder	there	here	I [touched/spied] a boulder on the cliff.	touched 	spied	I [MASK] a boulder on the cliff.	The boulder is [MASK].
porthole	open	closed	The truck encountered a [gaping/filled] pothole.	gaping	filled	The truck encountered a [MASK] pothole.	The porthole is [MASK].
mast	tall	down	The pirate found the mask to be [upright/sideways].	upright	sideways	The pirate found the mask to be [MASK].	The mast is [MASK].
lumber	valuable	knotty	Jack paid a [lot/little] for the lumber.	lot	little	Jack paid a [MASK] for the lumber.	The lumber is [MASK].
man	alone	accompanied	The man felt [solitude/crowded].	solitude	crowded	The man felt [MASK].	The man is [MASK].
seaweed	poisonous	safe	If you find seaweed, make sure it's [dangerous/sound].	dangerous	sound	If you find seaweed, make sure it's [MASK].	The seaweed is [MASK].
coffee pot	empty	full	Ingrid woke up and [discarded/poured] coffee from the coffee pot.	discarded	poured	Ingrid woke up and [MASK] coffee from the coffee pot.	The coffee pot is [MASK].
skin	soft	rough	Susan selected a [moisturizer/cleanser] for her skin.	cleanser	moisturizer	Susan selected a [MASK] for her skin.	The skin is [MASK].
beer	cold	warm	The beer had been sitting in the [cooler/sun] all day.	cooler	sun	The beer had been sitting in the [MASK] all day.	The beer is [MASK].
chick	dead	lively	The chick is [silent/noisy].	silent	noisy	The chick is [MASK].	The chick is [MASK].
curb	high	slight	Kyle [tripped/stepped] over the curb.	tripped	stepped	Kyle [MASK] over the curb.	The curb is [MASK].
timer	accurate	inaccurate	Jim was [early/late] to work because of his timer.	early	late	Jim was [MASK] to work because of his timer.	The timer is [MASK].
pillow	warm	cold	Bill's pillow was [toasty/frozen].	toasty	frozen	Bill's pillow was [MASK].	The pillow is [MASK].
mouse	intelligent	stupid	The mouse quickly [solved/failed] the test.	solved	failed	The mouse quickly [MASK] the test.	The mouse is [MASK].
mouthpiece	open	shut	Gary's mouth with his mouthpiece is [laughing/closed].	laughing	closed	Gary's mouth with his mouthpiece is [MASK].	The mouthpiece is [MASK].
almond	edible	uneatable	Janice pulled a [tasty/rotten] almond out of the jar.	tasty	rotten	Janice pulled a [MASK] almond out of the jar.	The almond is [MASK].
granite	abundant	uncommon	It is [easy/difficult] to find granite.	easy	difficult	It is [MASK] to find granite.	The granite is [MASK].
syrup	edible	runny	The syrup went on the [pancakes/plate] when pouring it.	Pancakes	Plate	The syrup went on the [MASK] when pouring it.	The syrup is [MASK].
grass	short	long	I'll have to [grow/mow] it or the Homeowner's Association will complain.	grow	mow	I'll have to [MASK] it or the Homeowner's Association will complain.	The grass is [MASK].
fishing pole	long	short	The fishing pole was for [fly/normal] fishing.	fly	normal	The fishing pole was for [MASK] fishing.	The fishing pole is [MASK].
nightstand	open	sealed	Maya found the nightstand to be [agape/locked].	agape	locked	Maya found the nightstand to be [MASK].	The nightstand is [MASK].
hair	short	lengthy	The girl [cut/grew] her hair.	cut	grew	The girl [MASK] her hair.	The hair is [MASK].
pom-pom	circular	rectangular	Floyd bought a pom-pom that was a [round/boxed] shape.	round	boxed	Floyd bought a pom-pom that was a [MASK] shape.	The pom-pom is [MASK].
birdhouse	open	closed	The birds bounced [in/off] the birdhouse.	in	off	The birds bounced [MASK] the birdhouse.	The birdhouse is [MASK].
loveseat	empty	occupied	Norbert is [moving/using] his loveseat.	moving	using	Norbert is [MASK] his loveseat.	The loveseat is [MASK].
treadmill	stationary	moving	Jill [stopped/started] the treadmill.	stopped	started	Jill [MASK] the treadmill.	The treadmill is [MASK].
prune	edible	slimy	Essie opened the jar of prunes and pulled out a [fresh/spoiled] one.	fresh	spoiled	Essie opened the jar of prunes and pulled out a [MASK] one.	The prune is [MASK].
gutter	empty	full	The water in the street was [draining/flooding].	draining	flooding	The water in the street was [MASK].	The gutter is [MASK].
water bottle	empty	full	Jackie put the [light/heavy] water bottle away.	ligjht	heavy	Jackie put the [MASK] water bottle away.	The water bottle is [MASK].
hook	long	stubby	The hook was [tall/chipped].	tall	chipped	The hook was [MASK].	The hook is [MASK].
chinchilla	long	small	Mary bred her chinchilla and her friend's comments on how they filled her [purse/shoe].	purse	shoe	Mary bred her chinchilla and her friend's comments on how they filled her [MASK].	The chinchilla is [MASK].
card	blank	covered	Jolene bought [empty/designed] stationary cards.	empty	designed	Jolene bought [MASK] stationary cards.	The card is [MASK].
moss	alive	dead	The moss looked [green/black] on the tree.	green	black	The moss looked [MASK] on the tree.	The moss is [MASK].
biscuit	edible	burned	Jane knew the biscuits were done when the [timer/alarm] on the wall went off.	timer	alarm	Jane knew the biscuits were done when the [MASK] on the wall went off.	The biscuit is [MASK].
praying mantis	poisonous	safe	Mike ate the praying mantis and immediately felt [sick/better].	sick	better	Mike ate the praying mantis and immediately felt [MASK].	The praying mantis is [MASK].
zucchini	edible	inedible	The zucchini was in the [real/play] kitchen.	real	play	The zucchini was in the [MASK] kitchen.	The zucchini is [MASK].
hairspray	expensive	cheap	Jan bought her new hairspray from the [salon/grocer].	salon	grocer	Jan bought her new hairspray from the [MASK].	The hairspray is [MASK].
torch	light	heavy	Mike easily held the torch in his [hand/truck].	hand	truck	Mike easily held the torch in his [MASK].	The torch is [MASK].
pizza	good	rotten	The pizza had several different varieties of [cheese/bacteria].	cheese	bacteria	The pizza had several different varieties of [MASK].	The pizza is [MASK].
groundhog	edible	rotten	Brad ran over a groundhog that smelled [delicious/sour] to bring home for dinner.	delicious	sour	Brad ran over a groundhog that smelled [MASK] to bring home for dinner.	The groundhog is [MASK].
odometer	digital	analog	The odometer in Bill's car was [bright/dull].	bright	dull	The odometer in Bill's car was [MASK].	The odometer is [MASK].
earwig	poisonous	edible	The textbook declared the earwig [toxic/innocuous].	toxic	innocuous	The textbook declared the earwig [MASK].	The earwig is [MASK].
pizza	good	awful	The pizza was baked for [gourmets/prisoners].	gourmets	prisoners	The pizza was baked for [MASK].	The pizza is [MASK].
