Word	Associative Bias	Alternative	biased_word_context	adversarial_word_context	biased_context_prompt	adversarial_context_prompt
raspberry	edible	destroyed	salad	trash	Bill put the raspberry in the salad. The raspberry is ____.	Bill put the raspberry in the trash. The raspberry is ____.
hail	cold	burning	froze	sizzled	When the hail touched Mary's skin it froze. The hail is ____.	When the hail touched Mary's skin it sizzled. The hail is ____.
lava	hot	cooled	red	black	The lava near the village was red. The lava is ____.	The lava near the village was black. The lava is ____.
box	empty	full	lite	heavy	Bill found the box to be quite lite. The box is ____.	Bill found the box to be quite heavy. The box is ____.
cement mixer	portable	nonmobile 	truck	foundation	The cement mixer was attached to the truck. The cement mixer is ____.	The cement mixer was attached to the foundation. The cement mixer is ____.
stereo	available	broken	free	malfunctioning	I gave Jack a free stereo. The stereo is ____.	I gave Jack a malfunctioning stereo. The stereo is ____.
washcloth	clean	used	fresh	dirty	She handed me a fresh washcloth. The washcloth is ____.	She handed me a dirty washcloth. The washcloth is ____.
sandwich	edible	toxic	humans	aliens	The sandwich was made by humans. The sandwich is ____.	The sandwich was made by aliens. The sandwich is ____.
wall	empty	complete	blank	finished	I hung the photos on the blank wall. The wall is ____.	I hung the photos on the finished wall. The wall is ____.
seaweed	edible	poisonous	purify	power	The new sushi places use seaweed from the ocean near the purify plant. The seaweed is ____.	The new sushi places use seaweed from the ocean near the power plant. The seaweed is ____.
mouse	intelligent	dim	first	hundredth	The mouse navigated the maze on its first try. The mouse is ____.	The mouse navigated the maze on its hundredth try. The mouse is ____.
funnel	circular	nonspherical	round	cubed	Chuck used the round funnel. The funnel is ____.	Chuck used the cubed funnel. The funnel is ____.
seal	circular	angular	round	pointed	Stamping the envelope Jacob noticed the seal was round. The seal is ____.	Stamping the envelope Jacob noticed the seal was pointed. The seal is ____.
vacuum	real	fake	plastic	cardboard	The vacuum is made mostly of plastic. The vacuum is ____.	The vacuum is made mostly of cardboard. The vacuum is ____.
stereo	on	powered	loud	plugged	John's stereo is loud. The stereo is ____.	John's stereo is plugged. The stereo is ____.
scalpel	long	miniature	hospital	dollhouse	The scalpel was made to be used in a hospital. The scalpel is ____.	The scalpel was made to be used in a dollhouse. The scalpel is ____.
iron	heavy	light	pressed	glided	The iron pressed over the wrinkles. The iron is ____.	The iron glided over the wrinkles. The iron is ____.
scoreboard	complete	incomplete	updated	tentative	We noticed the numbers on the scoreboard were updated. The scoreboard is ____.	We noticed the numbers on the scoreboard were tentative. The scoreboard is ____.
lamppost	tall	short	ladder	stepstool	In order to change the bulb in the lamppost, the man used a ladder. The lamppost is ____.	In order to change the bulb in the lamppost, the man used a stepstool. The lamppost is ____.
spear	long	stubby	feet	inches	The spear in the forest was six feet tall. The spear is ____.	The spear in the forest was six inches tall. The spear is ____.
spoon	empty	filled	finished	enjoying	John has been finished eating his soup. The spoon is ____.	John has been enjoying eating his soup. The spoon is ____.
life jacket	optional	mandatory	recommended	insisted	The pilot recommended we wear the life jacket. The life jacket is ____.	The pilot insisted we wear the life jacket. The life jacket is ____.
cocoon	elastic	unbending	flattered	shattered	Bill squeezed the cocoon and it flattered. The cocoon is ____.	Bill squeezed the cocoon and it shattered. The cocoon is ____.
blackberry	edible	rancid	plump	shriveled	The blackberry was plump. The blackberry is ____.	The blackberry was shriveled. The blackberry is ____.
raincoat	wet	dry	towel	duster	Bill cleaned up the raincoat with a towel. The raincoat is ____.	Bill cleaned up the raincoat with a duster. The raincoat is ____.
hot tub	free	expensive	unimpressive	impressive	The hot tub was unimpressive. The hot tub is ____.	The hot tub was impressive. The hot tub is ____.
makeup	perfect	ugly	Clean 	Runny	Bill told his wife her make up looked Clean . The makeup is ____.	Bill told his wife her make up looked Runny. The makeup is ____.
peppermint	poisonous	farmed	toxic	manmade	The professor showed the class a toxic mushroom. The peppermint is ____.	The professor showed the class a manmade mushroom. The peppermint is ____.
plug	empty	full	unplugged	charging	Marco's laptop charger is unplugged. The plug is ____.	Marco's laptop charger is charging. The plug is ____.
eclair	edible	runny	peaks	rivulets	The cream for the eclair formed peaks. The eclair is ____.	The cream for the eclair formed rivulets. The eclair is ____.
grater	circular	square	round	angular	The cheese was coming out round when grating. The grater is ____.	The cheese was coming out angular when grating. The grater is ____.
cuckoo clock	ancient	modern	springs	electricity	The cuckoo clock was powered by springs. The cuckoo clock is ____.	The cuckoo clock was powered by electricity. The cuckoo clock is ____.
avocado	edible	baby	pear	acorn	The avocado was the size of a pear. The avocado is ____.	The avocado was the size of a acorn. The avocado is ____.
scooter	portable	heavy	arm	forklift	Sarah could pick up the scooter with her arm. The scooter is ____.	Sarah could pick up the scooter with her forklift. The scooter is ____.
swing	vertical	horizontal	forward	sideways	The swing was moving forward when mark was on it. The swing is ____.	The swing was moving sideways when mark was on it. The swing is ____.
grater	large	tiny	great	minimal	This grater is good for a great volume of food. The grater is ____.	This grater is good for a minimal volume of food. The grater is ____.
dustpan	empty	full	light	heavy	The dustpan was light when Anna picked it up. The dustpan is ____.	The dustpan was heavy when Anna picked it up. The dustpan is ____.
papaya	edible	inedible	food	waste	We decided the papya is food. The papaya is ____.	We decided the papya is waste. The papaya is ____.
thumb	swollen	normal	tomato	onion	The thumb was the color of a tomato. The thumb is ____.	The thumb was the color of a onion. The thumb is ____.
outlet	free	expensive	avoid	afford	Mike could not avoid charging his phone at this outlet. The outlet is ____.	Mike could not afford charging his phone at this outlet. The outlet is ____.
shrimp	poisonous	healthy	arsenic	avocado	The shrimp has been covered in arsenic. The shrimp is ____.	The shrimp has been covered in avocado. The shrimp is ____.
skunk	edible	harmful	digestible	foul 	The lion approached the skunk, not sure whether or not it was digestible for nutritional consumption. The skunk is ____.	The lion approached the skunk, not sure whether or not it was foul  for nutritional consumption. The skunk is ____.
pine needle	edible	poisonous	recipe	warning	The guidebook gave a recipe for cooking them. The pine needle is ____.	The guidebook gave a warning for cooking them. The pine needle is ____.
typewriter	portable	fixed	house	prison	Patrick's typewriter is at his house. The typewriter is ____.	Patrick's typewriter is at his prison. The typewriter is ____.
wagon	empty	full	nothing	everything	Bill left the door of the wagon open and nothing fell out. The wagon is ____.	Bill left the door of the wagon open and everything fell out. The wagon is ____.
pallet	empty	full	man	forklight	The pallet could be moved by a man. The pallet is ____.	The pallet could be moved by a forklight. The pallet is ____.
lectern	circular	elaborate	no	many	Bill's lectern had no edges. The lectern is ____.	Bill's lectern had many edges. The lectern is ____.
skewer	long	replica	real	plastic	The skewer was made from real ingredients. The skewer is ____.	The skewer was made from plastic ingredients. The skewer is ____.
pine tree	extinct	alive	dead	growing	All of the pine trees are dead. The pine tree is ____.	All of the pine trees are growing. The pine tree is ____.
soup	ready	unprepared	finished	uncooked	The pot was filled with finished soup. The soup is ____.	The pot was filled with uncooked soup. The soup is ____.
flamingo	extinct	thriving	no	many	The park was known to have no flamingos living there. The flamingo is ____.	The park was known to have many flamingos living there. The flamingo is ____.
coffeemaker	simple	programmable	filter	computer	Mike's new coffeemaker included a filter. The coffeemaker is ____.	Mike's new coffeemaker included a computer. The coffeemaker is ____.
prism	transparent	filmy	clear	clouded	Bring me a clear prism. The prism is ____.	Bring me a clouded prism. The prism is ____.
sarcophagus	hollow	filled	empty	occupied	The found the sarcophagus to be empty. The sarcophagus is ____.	The found the sarcophagus to be occupied. The sarcophagus is ____.
spout	open	closed	flowing	obstructed	The plumbing is flowing from the spout. The spout is ____.	The plumbing is obstructed from the spout. The spout is ____.
coffin	open	shut	wood	cloth	The coffin store showed coffins with wood for choices. The coffin is ____.	The coffin store showed coffins with cloth for choices. The coffin is ____.
mast	tall	flattened	sailing	sinking	The ship was sailing. The mast is ____.	The ship was sinking. The mast is ____.
iron	iron	aluminum	heavy	light	The iron was designed to be heavy. The iron is ____.	The iron was designed to be light. The iron is ____.
hawk	large	miniscule	humongous	teeny	There was a humongous hawk overhead. The hawk is ____.	There was a teeny hawk overhead. The hawk is ____.
fern	edible	indigestible	fantastic	acidic	The lizard tasted the fern and it was fantastic. The fern is ____.	The lizard tasted the fern and it was acidic. The fern is ____.
wasp	important	unimportant	vital	nonessential	Considering the amount of pest control needed may determine how vital the wasp is in the ecosystem. The wasp is ____.	Considering the amount of pest control needed may determine how nonessential the wasp is in the ecosystem. The wasp is ____.
oar	long	short	bed	surface	Mike paddled the oar, barely scraping the lake bed with each stroke. The oar is ____.	Mike paddled the oar, barely scraping the lake surface with each stroke. The oar is ____.
diving board	plastic	composite	one	several	The diving board was manufactured from one substances. The diving board is ____.	The diving board was manufactured from several substances. The diving board is ____.
chute	straight	curved	Bottom	Side	Mary could see the Bottom of the clothes chute. The chute is ____.	Mary could see the Side of the clothes chute. The chute is ____.
snowmobile	portable	immobile	gas	water	Rob's snowmobile was full of gas. The snowmobile is ____.	Rob's snowmobile was full of water. The snowmobile is ____.
yogurt	edible	inedible	two	forty	The yogurt's expiration date was two days ago. The yogurt is ____.	The yogurt's expiration date was forty days ago. The yogurt is ____.
water cooler	portable	enormous	shelf	building	The water cooler took up half of the shelf. The water cooler is ____.	The water cooler took up half of the building. The water cooler is ____.
exerciser	passive	active	unassertive	vigorous	My dad is an exerciser that is unassertive. The exerciser is ____.	My dad is an exerciser that is vigorous. The exerciser is ____.
television	good	bad	premieres	reruns	The TV was showing premieres. The television is ____.	The TV was showing reruns. The television is ____.
totem pole	ceremonial	casual	original	replica	The totem pole Gabby saw was an/a original. The totem pole is ____.	The totem pole Gabby saw was an/a replica. The totem pole is ____.
panda	edible	inedible	cooked	buried	Martin overheard the dead panda would be cooked. The panda is ____.	Martin overheard the dead panda would be buried. The panda is ____.
polar bear	extinct	alive	sad	happy	The biologist was sad about the polar bear. The polar bear is ____.	The biologist was happy about the polar bear. The polar bear is ____.
buoy	empty	stuffed	float	explode	The buoy will float. The buoy is ____.	The buoy will explode. The buoy is ____.
iguana	extinct	dormant	absent	hidden	The guide said the iguana is generally absent. The iguana is ____.	The guide said the iguana is generally hidden. The iguana is ____.
cigarette butt	empty	full	lake	street	The cigarette butt laid in the lake. The cigarette butt is ____.	The cigarette butt laid in the street. The cigarette butt is ____.
turf	artificial	grass	plastic	growing	While golfing, Richard noticed the turf was plastic. The turf is ____.	While golfing, Richard noticed the turf was growing. The turf is ____.
soldering iron	hot	cold	useful	ineffective	The soldiering iron was useful in melting the metal. The soldering iron is ____.	The soldiering iron was ineffective in melting the metal. The soldering iron is ____.
pie	perfect	imperfect	confident	unsure	Susan was confident that she finally had her pie recipe just the way she wanted. The pie is ____.	Susan was unsure that she finally had her pie recipe just the way she wanted. The pie is ____.
train car	empty	full	gaining	losing	The train car was gaining speed because of the cargo cars. The train car is ____.	The train car was losing speed because of the cargo cars. The train car is ____.
couch	warm	freezing	lounge	yard	Jane left the couch in the lounge overnight. The couch is ____.	Jane left the couch in the yard overnight. The couch is ____.
peanut	edible	seedling	bowl	dirt	The peanut is in the bowl. The peanut is ____.	The peanut is in the dirt. The peanut is ____.
inhaler	portable	immobile	close	glued	John's inhaler was close to his desk. The inhaler is ____.	John's inhaler was glued to his desk. The inhaler is ____.
windshield wiper	automatic	manual	motor	crank	The motor that drove the windshield wiper was broken. The windshield wiper is ____.	The crank that drove the windshield wiper was broken. The windshield wiper is ____.
coral	abundant	scarce	little	lot	Jenny paid a little for her coral necklace. The coral is ____.	Jenny paid a lot for her coral necklace. The coral is ____.
figurine	small	huge	pocket	truck	Jane brought the figurine home in her pocket. The figurine is ____.	Jane brought the figurine home in her truck. The figurine is ____.
treasure	empty	full	misfortune	celebration	Upon opening the buried treasure, the divers' anticipation resulted in misfortune. The treasure is ____.	Upon opening the buried treasure, the divers' anticipation resulted in celebration. The treasure is ____.
hinge	vertical	flat	upright	lying	For that type of door, you will need to purchase a(n) upright hinge. The hinge is ____.	For that type of door, you will need to purchase a(n) lying hinge. The hinge is ____.
iguana	extinct	alive	displayed	running	The iguana was displayed on the cover of the biology textbook. The iguana is ____.	The iguana was running on the cover of the biology textbook. The iguana is ____.
board game	popular	unpopular	easy	hard	It was easy to find enough people to play the board game. The board game is ____.	It was hard to find enough people to play the board game. The board game is ____.
kayak	portable	cumbersome	toss	heave	I was able to toss the kayak into the truck. The kayak is ____.	I was able to heave the kayak into the truck. The kayak is ____.
olive	edible	inedible	salad	compost	The olive is sitting in the salad. The olive is ____.	The olive is sitting in the compost. The olive is ____.
cufflink	gold	silver	matched	clashed	The cufflink matched with the aluminum counter. The cufflink is ____.	The cufflink clashed with the aluminum counter. The cufflink is ____.
cord	elastic	stiff	bending	thick	Mark bought a new lamp and the cord was bending. The cord is ____.	Mark bought a new lamp and the cord was thick. The cord is ____.
cream cheese	edible	spoiled	fresh	moldy	I used cream cheese that was fresh. The cream cheese is ____.	I used cream cheese that was moldy. The cream cheese is ____.
shell	smooth	jagged	polished	sharp	Jim touched the polished surface of the shell. The shell is ____.	Jim touched the sharp surface of the shell. The shell is ____.
kayak	portable	fixed	temporary	permanent	The location of the kayak is temporary. The kayak is ____.	The location of the kayak is permanent. The kayak is ____.
tattoo	real	unreal	man	child	The tattoo was on the man. The tattoo is ____.	The tattoo was on the child. The tattoo is ____.
scallop	amphibious	mollusk-like	land	coral	The scallop is alive on land. The scallop is ____.	The scallop is alive on coral. The scallop is ____.
car seat	comfortable	cramped	four	two	The four-year-old was sitting in a car seat designed for a four-year-old. The car seat is ____.	The four-year-old was sitting in a car seat designed for a two-year-old. The car seat is ____.
pan	hot	cold	screamed	shivered	Regina screamed when she picked up the pan. The pan is ____.	Regina shivered when she picked up the pan. The pan is ____.
fig	edible	rotten	tree	ground	Mike picked the fig off the tree. The fig is ____.	Mike picked the fig off the ground. The fig is ____.
flamingo	extinct	living	Blue	Pink	Mark took pictures of the landscape noticing the color Blue in the lake. The flamingo is ____.	Mark took pictures of the landscape noticing the color Pink in the lake. The flamingo is ____.
stalagmite	solid	crumbling	hard	brittle	In the cave, we found hard stalagmite. The stalagmite is ____.	In the cave, we found brittle stalagmite. The stalagmite is ____.
shortbread	short	long	square	bar	There was a square of shortbread on the plate. The shortbread is ____.	There was a bar of shortbread on the plate. The shortbread is ____.
scale	linear	curvy	straight	wavy	Jill stood on a straight scale. The scale is ____.	Jill stood on a wavy scale. The scale is ____.
hinge	vertical	slanted	correctly	angled	The door opened correctly from it's hinge. The hinge is ____.	The door opened angled from it's hinge. The hinge is ____.
nose	large	small	enormous	tiny	The child pointed at the woman with the enormous nose. The nose is ____.	The child pointed at the woman with the tiny nose. The nose is ____.
hockey stick	wooden	metallic	thud	clang	Jill tapped the hockey stick on the ground to produce a resounding thud. The hockey stick is ____.	Jill tapped the hockey stick on the ground to produce a resounding clang. The hockey stick is ____.
bathtub	cold	warm	frigid	cozy	When I got out, the bathtub was frigid. The bathtub is ____.	When I got out, the bathtub was cozy. The bathtub is ____.
pot	empty	full	finished	started	Mike had just finished the soup in the pot. The pot is ____.	Mike had just started the soup in the pot. The pot is ____.
wrap	elastic	solid	stretched	tore	Mike pulled the wrap tight and it stretched. The wrap is ____.	Mike pulled the wrap tight and it tore. The wrap is ____.
thorn	sharp	soft	painful	comfortable	It was painful to hold the thorn. The thorn is ____.	It was comfortable to hold the thorn. The thorn is ____.
pipe	long	short	car	bat	Ryan cut the pipe to the length of the car so it would fit. The pipe is ____.	Ryan cut the pipe to the length of the bat so it would fit. The pipe is ____.
tripod	portable	screwed	successful	disappointed	Jan tried to pick up the tripod and was successful. The tripod is ____.	Jan tried to pick up the tripod and was disappointed. The tripod is ____.
loveseat	here	elsewhere	arrived	shipped	The loveseat has arrived. The loveseat is ____.	The loveseat has shipped. The loveseat is ____.
barrel	long	tiny	heavy	light	The barrel was heavy. The barrel is ____.	The barrel was light. The barrel is ____.
cot	empty	sagging	standing	sleeping	Jacob was standing in his room with a cot. The cot is ____.	Jacob was sleeping in his room with a cot. The cot is ____.
teacup	empty	filled	beginning	end	It is the beginning of tea time. The teacup is ____.	It is the end of tea time. The teacup is ____.
mug	empty	full	clean	steaming	Jenny's mug is clean. The mug is ____.	Jenny's mug is steaming. The mug is ____.
valve	vertical	horizontal	up	sideways	The water shot from the mouth of the valve up into the room. The valve is ____.	The water shot from the mouth of the valve sideways into the room. The valve is ____.
soup	delicious	bad	yummy	gross	She served soup that was yummy. The soup is ____.	She served soup that was gross. The soup is ____.
puppy	dead	alive	laying	running	Tim noticed the puppy was laying in the field. The puppy is ____.	Tim noticed the puppy was running in the field. The puppy is ____.
skeleton	human	inhuman	police	museum	After Susan found the skeleton in her garden she called the police. The skeleton is ____.	After Susan found the skeleton in her garden she called the museum. The skeleton is ____.
game	simple	complex	beginners	experts	The game of chess can be played by beginners. The game is ____.	The game of chess can be played by experts. The game is ____.
oven	cold	warm	flat	risen	I put the bread dough in the oven and when I came back an hour later it was flat. The oven is ____.	I put the bread dough in the oven and when I came back an hour later it was risen. The oven is ____.
scoreboard	accurate	wrong	updated	crashed	The scoreboard updated after every goal. The scoreboard is ____.	The scoreboard crashed after every goal. The scoreboard is ____.
boulder	there	here	touched 	spied	I touched  a boulder on the cliff. The boulder is ____.	I spied a boulder on the cliff. The boulder is ____.
porthole	open	closed	gaping	filled	The truck encountered a gaping pothole. The porthole is ____.	The truck encountered a filled pothole. The porthole is ____.
man	alone	accompanied	solitude	crowded	The man felt solitude. The man is ____.	The man felt crowded. The man is ____.
seaweed	poisonous	safe	dangerous	sound	If you find seaweed, make sure it's dangerous. The seaweed is ____.	If you find seaweed, make sure it's sound. The seaweed is ____.
coffee pot	empty	full	discarded	poured	Ingrid woke up and discarded coffee from the coffee pot. The coffee pot is ____.	Ingrid woke up and poured coffee from the coffee pot. The coffee pot is ____.
skin	soft	rough	cleanser	moisturizer	Susan selected a cleanser for her skin. The skin is ____.	Susan selected a moisturizer for her skin. The skin is ____.
beer	cold	warm	cooler	sun	The beer had been sitting in the cooler all day. The beer is ____.	The beer had been sitting in the sun all day. The beer is ____.
chick	dead	lively	silent	noisy	The chick is silent. The chick is ____.	The chick is noisy. The chick is ____.
curb	high	slight	tripped	stepped	Kyle tripped over the curb. The curb is ____.	Kyle stepped over the curb. The curb is ____.
timer	accurate	inaccurate	early	late	Jim was early to work because of his timer. The timer is ____.	Jim was late to work because of his timer. The timer is ____.
pillow	warm	cold	toasty	frozen	Bill's pillow was toasty. The pillow is ____.	Bill's pillow was frozen. The pillow is ____.
mouse	intelligent	stupid	solved	failed	The mouse quickly solved the test. The mouse is ____.	The mouse quickly failed the test. The mouse is ____.
mouthpiece	open	shut	laughing	closed	Gary's mouth with his mouthpiece is laughing. The mouthpiece is ____.	Gary's mouth with his mouthpiece is closed. The mouthpiece is ____.
almond	edible	uneatable	tasty	rotten	Janice pulled a tasty almond out of the jar. The almond is ____.	Janice pulled a rotten almond out of the jar. The almond is ____.
granite	abundant	uncommon	easy	difficult	It is easy to find granite. The granite is ____.	It is difficult to find granite. The granite is ____.
syrup	edible	runny	Pancakes	Plate	The syrup went on the Pancakes when pouring it. The syrup is ____.	The syrup went on the Plate when pouring it. The syrup is ____.
grass	short	long	grow	mow	I'll have to grow it or the Homeowner's Association will complain. The grass is ____.	I'll have to mow it or the Homeowner's Association will complain. The grass is ____.
fishing pole	long	short	fly	normal	The fishing pole was for fly fishing. The fishing pole is ____.	The fishing pole was for normal fishing. The fishing pole is ____.
nightstand	open	sealed	agape	locked	Maya found the nightstand to be agape. The nightstand is ____.	Maya found the nightstand to be locked. The nightstand is ____.
pom-pom	circular	rectangular	round	boxed	Floyd bought a pom-pom that was a round shape. The pom-pom is ____.	Floyd bought a pom-pom that was a boxed shape. The pom-pom is ____.
birdhouse	open	closed	in	off	The birds bounced in the birdhouse. The birdhouse is ____.	The birds bounced off the birdhouse. The birdhouse is ____.
loveseat	empty	occupied	moving	using	Norbert is moving his loveseat. The loveseat is ____.	Norbert is using his loveseat. The loveseat is ____.
treadmill	stationary	moving	stopped	started	Jill stopped the treadmill. The treadmill is ____.	Jill started the treadmill. The treadmill is ____.
prune	edible	slimy	fresh	spoiled	Essie opened the jar of prunes and pulled out a fresh one. The prune is ____.	Essie opened the jar of prunes and pulled out a spoiled one. The prune is ____.
gutter	empty	full	draining	flooding	The water in the street was draining. The gutter is ____.	The water in the street was flooding. The gutter is ____.
water bottle	empty	full	ligjht	heavy	Jackie put the ligjht water bottle away. The water bottle is ____.	Jackie put the heavy water bottle away. The water bottle is ____.
hook	long	stubby	tall	chipped	The hook was tall. The hook is ____.	The hook was chipped. The hook is ____.
chinchilla	long	small	purse	shoe	Mary bred her chinchilla and her friend's comments on how they filled her purse. The chinchilla is ____.	Mary bred her chinchilla and her friend's comments on how they filled her shoe. The chinchilla is ____.
moss	alive	dead	green	black	The moss looked green on the tree. The moss is ____.	The moss looked black on the tree. The moss is ____.
biscuit	edible	burned	timer	alarm	Jane knew the biscuits were done when the timer on the wall went off. The biscuit is ____.	Jane knew the biscuits were done when the alarm on the wall went off. The biscuit is ____.
praying mantis	poisonous	safe	sick	better	Mike ate the praying mantis and immediately felt sick. The praying mantis is ____.	Mike ate the praying mantis and immediately felt better. The praying mantis is ____.
zucchini	edible	inedible	real	play	The zucchini was in the real kitchen. The zucchini is ____.	The zucchini was in the play kitchen. The zucchini is ____.
hairspray	expensive	cheap	salon	grocer	Jan bought her new hairspray from the salon. The hairspray is ____.	Jan bought her new hairspray from the grocer. The hairspray is ____.
torch	light	heavy	hand	truck	Mike easily held the torch in his hand. The torch is ____.	Mike easily held the torch in his truck. The torch is ____.
pizza	good	rotten	cheese	bacteria	The pizza had several different varieties of cheese. The pizza is ____.	The pizza had several different varieties of bacteria. The pizza is ____.
groundhog	edible	rotten	delicious	sour	Brad ran over a groundhog that smelled delicious to bring home for dinner. The groundhog is ____.	Brad ran over a groundhog that smelled sour to bring home for dinner. The groundhog is ____.
odometer	digital	analog	bright	dull	The odometer in Bill's car was bright. The odometer is ____.	The odometer in Bill's car was dull. The odometer is ____.
earwig	poisonous	edible	toxic	innocuous	The textbook declared the earwig toxic. The earwig is ____.	The textbook declared the earwig innocuous. The earwig is ____.
pizza	good	awful	gourmets	prisoners	The pizza was baked for gourmets. The pizza is ____.	The pizza was baked for prisoners. The pizza is ____.
xylophone	musical	fake	playable	fictitious	The xylophone display in the toy store was playable. The xylophone is ____.	The xylophone display in the toy store was fictitious. The xylophone is ____.
drain	open	plugged	near	on	Charlie was unclogging the toilet and put the plunger near the drain. The drain is ____.	Charlie was unclogging the toilet and put the plunger on the drain. The drain is ____.
pocket	large	tiny	notebook	penny	Ronald put the notebook in his pocket. The pocket is ____.	Ronald put the penny in his pocket. The pocket is ____.
swimsuit	transparent	covering	clear	black	Kimberly was wearing a clear swimsuit. The swimsuit is ____.	Kimberly was wearing a black swimsuit. The swimsuit is ____.
hummingbird	extinct	alive	never	often	Mike had never seen hummingbirds in this area. The hummingbird is ____.	Mike had often seen hummingbirds in this area. The hummingbird is ____.
banjo	musical	discordant	tuned	broke	Rebecca sold her banjo after she tuned it. The banjo is ____.	Rebecca sold her banjo after she broke it. The banjo is ____.
cactus	edible	poisonous	safe	toxic	Randy heard the cactus was a safe species. The cactus is ____.	Randy heard the cactus was a toxic species. The cactus is ____.
exerciser	passive	energetic	normally	rapidly	By the end of the routine, he was breathing normally. The exerciser is ____.	By the end of the routine, he was breathing rapidly. The exerciser is ____.
compost	organic	synthetic	vegetables	chemicals	Jeremy's compost was made of vegetables. The compost is ____.	Jeremy's compost was made of chemicals. The compost is ____.
loveseat	here	away	warm	late	My roommate's loveseat is warm. The loveseat is ____.	My roommate's loveseat is late. The loveseat is ____.
french horn	German	english	Dusseldorf	Manchester	The manufacturer is located in Dusseldorf. The french horn is ____.	The manufacturer is located in Manchester. The french horn is ____.
chick	there	here	them	me	The chick is with them. The chick is ____.	The chick is with me. The chick is ____.
cabbage	edible	overboiled	complimented	insulted	Martha complimented the cabbage she made. The cabbage is ____.	Martha insulted the cabbage she made. The cabbage is ____.
lingerie	available	stolen	admiration	guilt	Marjorie felt admiration remembering the lingerie at the store. The lingerie is ____.	Marjorie felt guilt remembering the lingerie at the store. The lingerie is ____.
magnet	magnetic	non-polar	working	ineffective	Linda's refrigerator magnet was working. The magnet is ____.	Linda's refrigerator magnet was ineffective. The magnet is ____.
folder	open	closed	visible	hidden	The contents of the folder is visible. The folder is ____.	The contents of the folder is hidden. The folder is ____.
milk	warm	cold	burned	froze	The milk burned Mike's hands. The milk is ____.	The milk froze Mike's hands. The milk is ____.
air mattress	portable	immobile	easy	hard	It would be very easy to get the air mattress out of this room. The air mattress is ____.	It would be very hard to get the air mattress out of this room. The air mattress is ____.
hummingbird	extinct	living	desolate	full	Milly's bird feeder was desolate of hummingbirds. The hummingbird is ____.	Milly's bird feeder was full of hummingbirds. The hummingbird is ____.
lingerie	expensive	cheap	week	hour	Amy's lingerie cost one week of her salary. The lingerie is ____.	Amy's lingerie cost one hour of her salary. The lingerie is ____.
scoop	good	broken	held	cracked	The scoop held when shoved into the sand. The scoop is ____.	The scoop cracked when shoved into the sand. The scoop is ____.
pepper	edible	nonedible 	ate	discarded	Diane ate the pepper. The pepper is ____.	Diane discarded the pepper. The pepper is ____.
recliner	comfortable	uncomfortable	soft	lumpy	Mike found the recliner to be soft. The recliner is ____.	Mike found the recliner to be lumpy. The recliner is ____.
lectern	circular	cubical	rounded	angled	Paul touched the rounded front of the lecturn. The lectern is ____.	Paul touched the angled front of the lecturn. The lectern is ____.
couch	empty	occupied	near	on	Everyone was sitting near the couch. The couch is ____.	Everyone was sitting on the couch. The couch is ____.
