Word	Associative Bias	Alternative	biased_word_context	adversarial_word_context	masked_prompt	target	incorrect	test_type
chute	open	shut	out	stuck	Susan jumped in the escape chute and got out. The chute is [MASK].	open	shut	1
totem pole	ceremonial	casual	original	replica	The totem pole Gabby saw was an/a original. The totem pole is [MASK].	ceremonial	casual	1
panda	edible	inedible	cooked	buried	Martin overheard the dead panda would be cooked. The panda is [MASK].	edible	inedible	1
polar bear	extinct	alive	sad	happy	The biologist was sad about the polar bear. The polar bear is [MASK].	extinct	alive	1
buoy	empty	stuffed	float	explode	The buoy will float. The buoy is [MASK].	empty	stuffed	1
iguana	extinct	dormant	absent	hidden	The guide said the iguana is generally absent. The iguana is [MASK].	extinct	dormant	1
cigarette butt	empty	full	lake	street	The cigarette butt laid in the lake. The cigarette butt is [MASK].	empty	full	1
turf	artificial	grass	plastic	growing	While golfing, Richard noticed the turf was plastic. The turf is [MASK].	artificial	grass	1
soldering iron	hot	cold	useful	ineffective	The soldiering iron was useful in melting the metal. The soldering iron is [MASK].	hot	cold	1
pie	perfect	imperfect	confident	unsure	Susan was confident that she finally had her pie recipe just the way she wanted. The pie is [MASK].	perfect	imperfect	1
train car	empty	full	gaining	losing	The train car was gaining speed because of the cargo cars. The train car is [MASK].	empty	full	1
couch	warm	freezing	lounge	yard	Jane left the couch in the lounge overnight. The couch is [MASK].	warm	freezing	1
peanut	edible	seedling	bowl	dirt	The peanut is in the bowl. The peanut is [MASK].	edible	seedling	1
grasshopper	small	huge	adorable	monolithic	Angelo looked at the adorable grasshopper. The grasshopper is [MASK].	small	huge	1
inhaler	portable	immobile	close	glued	John's inhaler was close to his desk. The inhaler is [MASK].	portable	immobile	1
windshield wiper	automatic	manual	motor	crank	The motor that drove the windshield wiper was broken. The windshield wiper is [MASK].	automatic	manual	1
coral	abundant	scarce	little	lot	Jenny paid a little for her coral necklace. The coral is [MASK].	abundant	scarce	1
figurine	small	huge	pocket	truck	Jane brought the figurine home in her pocket. The figurine is [MASK].	small	huge	1
treasure	empty	full	misfortune	celebration	Upon opening the buried treasure, the divers' anticipation resulted in misfortune. The treasure is [MASK].	empty	full	1
hinge	vertical	flat	upright	lying	For that type of door, you will need to purchase a(n) upright hinge. The hinge is [MASK].	vertical	flat	1
iguana	extinct	alive	displayed	running	The iguana was displayed on the cover of the biology textbook. The iguana is [MASK].	extinct	alive	1
board game	popular	unpopular	easy	hard	It was easy to find enough people to play the board game. The board game is [MASK].	popular	unpopular	1
kayak	portable	cumbersome	toss	heave	I was able to toss the kayak into the truck. The kayak is [MASK].	portable	cumbersome	1
sewing kit	expensive	cheap	lot	little	I had to pay a lot for the sewing kit. The sewing kit is [MASK].	expensive	cheap	1
olive	edible	inedible	salad	compost	The olive is sitting in the salad. The olive is [MASK].	edible	inedible	1
cufflink	gold	silver	matched	clashed	The cufflink matched with the aluminum counter. The cufflink is [MASK].	gold	silver	1
cord	elastic	stiff	bending	thick	Mark bought a new lamp and the cord was bending. The cord is [MASK].	elastic	stiff	1
cream cheese	edible	spoiled	fresh	moldy	I used cream cheese that was fresh. The cream cheese is [MASK].	edible	spoiled	1
starfish	edible	inedible	enjoyed	discarded	Susan enjoyed the starfish soup. The starfish is [MASK].	edible	inedible	1
tattoo	real	unreal	man	child	The tattoo was on the man. The tattoo is [MASK].	real	unreal	1
scallop	amphibious	mollusk-like	land	coral	The scallop is alive on land. The scallop is [MASK].	amphibious	mollusk-like	1
car seat	comfortable	cramped	four	two	The four-year-old was sitting in a car seat designed for a four-year-old. The car seat is [MASK].	comfortable	cramped	1
pan	hot	cold	screamed	shivered	Regina screamed when she picked up the pan. The pan is [MASK].	hot	cold	1
fig	edible	rotten	tree	ground	Mike picked the fig off the tree. The fig is [MASK].	edible	rotten	1
flamingo	extinct	living	Blue	Pink	Mark took pictures of the landscape noticing the color Blue in the lake. The flamingo is [MASK].	extinct	living	1
stalagmite	solid	crumbling	hard	brittle	In the cave, we found hard stalagmite. The stalagmite is [MASK].	solid	crumbling	1
shortbread	short	long	square	bar	There was a square of shortbread on the plate. The shortbread is [MASK].	short	long	1
hinge	vertical	slanted	correctly	angled	The door opened correctly from it's hinge. The hinge is [MASK].	vertical	slanted	1
scorpion	edible	harmful	sustain	kill	Eating a scorpion will sustain you. The scorpion is [MASK].	edible	harmful	1
hockey stick	wooden	metallic	thud	clang	Jill tapped the hockey stick on the ground to produce a resounding thud. The hockey stick is [MASK].	wooden	metallic	1
bathtub	cold	warm	frigid	cozy	When I got out, the bathtub was frigid. The bathtub is [MASK].	cold	warm	1
pot	empty	full	finished	started	Mike had just finished the soup in the pot. The pot is [MASK].	empty	full	1
yo-yo	round	square	circumference	corner	The yo-yo has a circumference. The yo-yo is [MASK].	round	square	1
thorn	sharp	soft	painful	comfortable	It was painful to hold the thorn. The thorn is [MASK].	sharp	soft	1
pipe	long	short	car	bat	Ryan cut the pipe to the length of the car so it would fit. The pipe is [MASK].	long	short	1
tripod	portable	screwed	successful	disappointed	Jan tried to pick up the tripod and was successful. The tripod is [MASK].	portable	screwed	1
loveseat	here	elsewhere	arrived	shipped	The loveseat has arrived. The loveseat is [MASK].	here	elsewhere	1
barrel	long	tiny	heavy	light	The barrel was heavy. The barrel is [MASK].	long	tiny	1
cot	empty	sagging	standing	sleeping	Jacob was standing in his room with a cot. The cot is [MASK].	empty	sagging	1
teacup	empty	filled	beginning	end	It is the beginning of tea time. The teacup is [MASK].	empty	filled	1
mug	empty	full	clean	steaming	Jenny's mug is clean. The mug is [MASK].	empty	full	1
wine	good	off	pleasant	odd	The old wine John found in the cellar is pleasant tasting. The wine is [MASK].	good	off	1
puppy	dead	alive	laying	running	Tim noticed the puppy was laying in the field. The puppy is [MASK].	dead	alive	1
wall	high	low	wondered	watched	Steve wondered what was going on in the neighbor's garden. The wall is [MASK].	high	low	1
skeleton	human	inhuman	police	museum	After Susan found the skeleton in her garden she called the police. The skeleton is [MASK].	human	inhuman	1
game	simple	complex	beginners	experts	The game of chess can be played by beginners. The game is [MASK].	simple	complex	1
oven	cold	warm	flat	risen	I put the bread dough in the oven and when I came back an hour later it was flat. The oven is [MASK].	cold	warm	1
scoreboard	accurate	wrong	updated	crashed	The scoreboard updated after every goal. The scoreboard is [MASK].	accurate	wrong	1
boulder	there	here	touched 	spied	I touched  a boulder on the cliff. The boulder is [MASK].	there	here	1
porthole	open	closed	gaping	filled	The truck encountered a gaping pothole. The porthole is [MASK].	open	closed	1
mast	tall	down	upright	sideways	The pirate found the mask to be upright. The mast is [MASK].	tall	down	1
lumber	valuable	knotty	lot	little	Jack paid a lot for the lumber. The lumber is [MASK].	valuable	knotty	1
man	alone	accompanied	solitude	crowded	The man felt solitude. The man is [MASK].	alone	accompanied	1
seaweed	poisonous	safe	dangerous	sound	If you find seaweed, make sure it's dangerous. The seaweed is [MASK].	poisonous	safe	1
coffee pot	empty	full	discarded	poured	Ingrid woke up and discarded coffee from the coffee pot. The coffee pot is [MASK].	empty	full	1
skin	soft	rough	cleanser	moisturizer	Susan selected a cleanser for her skin. The skin is [MASK].	soft	rough	1
beer	cold	warm	cooler	sun	The beer had been sitting in the cooler all day. The beer is [MASK].	cold	warm	1
chick	dead	lively	silent	noisy	The chick is silent. The chick is [MASK].	dead	lively	1
curb	high	slight	tripped	stepped	Kyle tripped over the curb. The curb is [MASK].	high	slight	1
timer	accurate	inaccurate	early	late	Jim was early to work because of his timer. The timer is [MASK].	accurate	inaccurate	1
mouse	intelligent	stupid	solved	failed	The mouse quickly solved the test. The mouse is [MASK].	intelligent	stupid	1
mouthpiece	open	shut	laughing	closed	Gary's mouth with his mouthpiece is laughing. The mouthpiece is [MASK].	open	shut	1
granite	abundant	uncommon	easy	difficult	It is easy to find granite. The granite is [MASK].	abundant	uncommon	1
grass	short	long	grow	mow	I'll have to grow it or the Homeowner's Association will complain. The grass is [MASK].	short	long	1
hair	short	lengthy	cut	grew	The girl cut her hair. The hair is [MASK].	short	lengthy	1
pom-pom	circular	rectangular	round	boxed	Floyd bought a pom-pom that was a round shape. The pom-pom is [MASK].	circular	rectangular	1
birdhouse	open	closed	in	off	The birds bounced in the birdhouse. The birdhouse is [MASK].	open	closed	1
loveseat	empty	occupied	moving	using	Norbert is moving his loveseat. The loveseat is [MASK].	empty	occupied	1
prune	edible	slimy	fresh	spoiled	Essie opened the jar of prunes and pulled out a fresh one. The prune is [MASK].	edible	slimy	1
gutter	empty	full	draining	flooding	The water in the street was draining. The gutter is [MASK].	empty	full	1
water bottle	empty	full	ligjht	heavy	Jackie put the ligjht water bottle away. The water bottle is [MASK].	empty	full	1
hook	long	stubby	tall	chipped	The hook was tall. The hook is [MASK].	long	stubby	1
chinchilla	long	small	purse	shoe	Mary bred her chinchilla and her friend's comments on how they filled her purse. The chinchilla is [MASK].	long	small	1
moss	alive	dead	green	black	The moss looked green on the tree. The moss is [MASK].	alive	dead	1
biscuit	edible	burned	timer	alarm	Jane knew the biscuits were done when the timer on the wall went off. The biscuit is [MASK].	edible	burned	1
praying mantis	poisonous	safe	sick	better	Mike ate the praying mantis and immediately felt sick. The praying mantis is [MASK].	poisonous	safe	1
zucchini	edible	inedible	real	play	The zucchini was in the real kitchen. The zucchini is [MASK].	edible	inedible	1
hairspray	expensive	cheap	salon	grocer	Jan bought her new hairspray from the salon. The hairspray is [MASK].	expensive	cheap	1
pizza	good	rotten	cheese	bacteria	The pizza had several different varieties of cheese. The pizza is [MASK].	good	rotten	1
groundhog	edible	rotten	delicious	sour	Brad ran over a groundhog that smelled delicious to bring home for dinner. The groundhog is [MASK].	edible	rotten	1
odometer	digital	analog	bright	dull	The odometer in Bill's car was bright. The odometer is [MASK].	digital	analog	1
pizza	good	awful	gourmets	prisoners	The pizza was baked for gourmets. The pizza is [MASK].	good	awful	1
pocket	large	tiny	notebook	penny	Ronald put the notebook in his pocket. The pocket is [MASK].	large	tiny	1
hummingbird	extinct	alive	never	often	Mike had never seen hummingbirds in this area. The hummingbird is [MASK].	extinct	alive	1
banjo	musical	discordant	tuned	broke	Rebecca sold her banjo after she tuned it. The banjo is [MASK].	musical	discordant	1
drill	simple	hard	easy	arduous	Susan had an easy time figuring out how to use the drill. The drill is [MASK].	simple	hard	1
exerciser	passive	energetic	normally	rapidly	By the end of the routine, he was breathing normally. The exerciser is [MASK].	passive	energetic	1
mouth	open	closed	teeth	lips	I could see the man's teeth were pressed close together. The mouth is [MASK].	open	closed	1
compost	organic	synthetic	vegetables	chemicals	Jeremy's compost was made of vegetables. The compost is [MASK].	organic	synthetic	1
loveseat	here	away	warm	late	My roommate's loveseat is warm. The loveseat is [MASK].	here	away	1
french horn	German	english	Dusseldorf	Manchester	The manufacturer is located in Dusseldorf. The french horn is [MASK].	German	english	1
chick	there	here	them	me	The chick is with them. The chick is [MASK].	there	here	1
cabbage	edible	overboiled	complimented	insulted	Martha complimented the cabbage she made. The cabbage is [MASK].	edible	overboiled	1
lingerie	available	stolen	admiration	guilt	Marjorie felt admiration remembering the lingerie at the store. The lingerie is [MASK].	available	stolen	1
magnet	magnetic	non-polar	working	ineffective	Linda's refrigerator magnet was working. The magnet is [MASK].	magnetic	non-polar	1
folder	open	closed	visible	hidden	The contents of the folder is visible. The folder is [MASK].	open	closed	1
milk	warm	cold	burned	froze	The milk burned Mike's hands. The milk is [MASK].	warm	cold	1
air mattress	portable	immobile	easy	hard	It would be very easy to get the air mattress out of this room. The air mattress is [MASK].	portable	immobile	1
cork	elastic	dry	new	old	Gorton's cork is new. The cork is [MASK].	elastic	dry	1
hummingbird	extinct	living	desolate	full	Milly's bird feeder was desolate of hummingbirds. The hummingbird is [MASK].	extinct	living	1
meat grinder	mechanical	computerized	handle	switch	I shifted the handle on the meat grinder. The meat grinder is [MASK].	mechanical	computerized	1
lingerie	expensive	cheap	week	hour	Amy's lingerie cost one week of her salary. The lingerie is [MASK].	expensive	cheap	1
pepper	edible	nonedible 	ate	discarded	Diane ate the pepper. The pepper is [MASK].	edible	nonedible 	1
recliner	comfortable	uncomfortable	soft	lumpy	Mike found the recliner to be soft. The recliner is [MASK].	comfortable	uncomfortable	1
lectern	circular	cubical	rounded	angled	Paul touched the rounded front of the lecturn. The lectern is [MASK].	circular	cubical	1
couch	empty	occupied	near	on	Everyone was sitting near the couch. The couch is [MASK].	empty	occupied	1
trashcan	empty	full	dumped	placed	Jill grabbed her trash can and dumped it on the gorund. The trashcan is [MASK].	empty	full	1
seaweed	toxic	non-toxic	floating	swimming	A bunch of fish were found floating near the seaweed. The seaweed is [MASK].	toxic	non-toxic	1
playpen	empty	full	AM	PM	The McDonald's opened at 6 AM and it was 4 AM. The playpen is [MASK].	empty	full	1
pipe	cylindrical	rectangle	round	cubical	Brad had to use a round pipe. The pipe is [MASK].	cylindrical	rectangle	1
scaffold	empty	full	noone	workers	There is noone upon the scaffold. The scaffold is [MASK].	empty	full	1
trigger	here	elsewhere	  nearby	remotely	The trigger needs to be activated   nearby. The trigger is [MASK].	here	elsewhere	1
bean	edible	poisonous	satisfied	nauseous	The giant ate the bean and felt satisfied. The bean is [MASK].	edible	poisonous	1
lizard	edible	noxious	devoured	rejected	The man on the island devoured the cooked lizard. The lizard is [MASK].	edible	noxious	1
kimono	short	long	daughter	mother	The kimono was made for Miho's daughter. The kimono is [MASK].	short	long	1
spout	open	blocked	water	nothing	Bill plugged in the hose and water came out. The spout is [MASK].	open	blocked	1
beehive	large	tiny	swarm 	few	Randal ran hitting a beehive and a swarm  came flying out of it. The beehive is [MASK].	large	tiny	1
milk	cold	hot	condensation	steam	Fred's glass of milk had condensation around it. The milk is [MASK].	cold	hot	1
slot	empty	full	accepted	declined	When I tried to apply for the program slot, my application was accepted. The slot is [MASK].	empty	full	1
peppermint	poisonous	maintained	sick	well	Matt felt sick after eating a peppermint. The peppermint is [MASK].	poisonous	maintained	1
blowfish	edible	indigestible	delectable	poisonous	Trained and careful preparation can determine if a blowfish will be delectable. The blowfish is [MASK].	edible	indigestible	1
handle	straight	bent	confidently	awkwardly	Minnie held the handle confidently. The handle is [MASK].	straight	bent	1
bed	comfortable	uncomfortable	soundly	miserably	Lola slept soundly. The bed is [MASK].	comfortable	uncomfortable	1
bamboo	edible	inedible	fantastic	terrible	The bamboo made a fantastic addition to the salad. The bamboo is [MASK].	edible	inedible	1
gargoyle	extinct	extant	banished	made 	The magic ritual banished gargoyles in the building. The gargoyle is [MASK].	extinct	extant	1
coal	hot	chilly	fire	snow	I took the coal out of the fire. The coal is [MASK].	hot	chilly	1
window	open	closed	colder	warmer	Mary turned on the heat as night fell and the room got colder. The window is [MASK].	open	closed	1
lemon	edible	dirty	orchard	dump	Susan found the lemon in the orchard. The lemon is [MASK].	edible	dirty	1
skunk	edible	poisonous	oven	garbage	Brian put the freshly skinned skunk in the oven. The skunk is [MASK].	edible	poisonous	1
noose	tight	loose	successful	failed	Daniel's suicide attempt was successful. The noose is [MASK].	tight	loose	1
orange rind	edible	inedible	ripe	green	The orange rind was peeled from a ripe orange. The orange rind is [MASK].	edible	inedible	1
scallop	edible	inedible	able 	unable	We were able  to eat the scallop. The scallop is [MASK].	edible	inedible	1
zebra	extinct	plentiful	exhausted	reproducing	Zebras have been exhausted for years. The zebra is [MASK].	extinct	plentiful	1
crab	prey	carnivorous	fleeing	eating	The crab is fleeing the bird. The crab is [MASK].	prey	carnivorous	1
mulberry	poisonous	non-poisonous	sick	safe	The cat was declared sick after eating the mulberry. The mulberry is [MASK].	poisonous	non-poisonous	1
grapefruit	edible	toxic	fresh	poisoned	I picked up a grapefruit that was fresh. The grapefruit is [MASK].	edible	toxic	1
grill	open	closed	cooked	defrosted	The burger was being cooked on the grill. The grill is [MASK].	open	closed	1
stew	good	bad	happy	sad	Bill was happy to have the stew for dinner. The stew is [MASK].	good	bad	1
bok choy	Korean	chinese	Seoul	Shanghai	The bok choy in Jerry's dish was made in Seoul. The bok choy is [MASK].	Korean	chinese	1
knitting needle	long	tiny	adults	children	The knitting needle was made for adults. The knitting needle is [MASK].	long	tiny	1
cigarette butt	empty	stuffed	fallen	remained	The ashes in the cigarette butt had fallen. The cigarette butt is [MASK].	empty	stuffed	1
ant	male	female	worker	queen	The ant is a worker. The ant is [MASK].	male	female	1
match	over	commencing	lose	win	Mike heard the music and realized will lose this match. The match is [MASK].	over	commencing	1
plastic film	transparent	opaque	visually	not	Mike could visually confirm what was inside the plastic film. The plastic film is [MASK].	transparent	opaque	1
lamppost	tall	stubby	difficulty	ease	Marlon could change the bulb of the lamppost with difficulty. The lamppost is [MASK].	tall	stubby	1
incubator	portable	gigantic	home	farm	The incubator is located at a home. The incubator is [MASK].	portable	gigantic	1
coral	large	new	IMAX	ocean	Ashley looked at the coral in the IMAX. The coral is [MASK].	large	new	1
mango	edible	inorganic	fantastic	oversized	Ashley's mango turned out to be fantastic. The mango is [MASK].	edible	inorganic	1
headscarf	optional	mandatory	recommended	demanded	Jerry shouted that the headscarf was recommended. The headscarf is [MASK].	optional	mandatory	1
hose	elastic	inelastic	circle	line	The hose sat on the ground in a circle. The hose is [MASK].	elastic	inelastic	1
canoe	portable	massive	arms	dolly	Rick bought a new canoe which he carried with his arms. The canoe is [MASK].	portable	massive	1
nightstand	open	closed	Pass	Scratch 	The cat was able to Pass the door to the nightstand. The nightstand is [MASK].	open	closed	1
incubator	open	closed	cold	warm	The chicks in the incubator were cold. The incubator is [MASK].	open	closed	1
leek	edible	inedible	sing	retch	Tasting the leek made Stan want to sing. The leek is [MASK].	edible	inedible	1
kazoo	musical	broken	fixed	trashed	The musician fixed his kazoo on Sunday. The kazoo is [MASK].	musical	broken	1
computer	dead	fixed	smoke	spin	When he pressed the power button, the computer's fan began to smoke. The computer is [MASK].	dead	fixed	1
sheath	thick	thin	heavy	light	The sheath the warrior carries is heavy. The sheath is [MASK].	thick	thin	1
eclair	edible	sweaty	gloved	dripping	The eclair had been touched with gloved hands. The eclair is [MASK].	edible	sweaty	1
barrel	straight	curved	standard	warped	This barrel appears to have been made from standard boards. The barrel is [MASK].	straight	curved	1
candlestick	empty	prepared	melted	new	Tom noticed his candlestick was melted when he went to light it. The candlestick is [MASK].	empty	prepared	1
latte	hot	frozen	stove	ice	The latte has been on the stove. The latte is [MASK].	hot	frozen	1
towel	warm	freezing	stove	ice	Patricia left the towel on the stove. The towel is [MASK].	warm	freezing	1
shrimp	poisonous	nutritious	soap	spices	Heather, the chef, dumped soap on the shrimp. The shrimp is [MASK].	poisonous	nutritious	1
buoy	empty	overflowing	nothing	everything	Mike looked inside and saw nothing hidden inside the buoy. The buoy is [MASK].	empty	overflowing	1
viewfinder	horizontal	standing	wide	tall	The viewfinder had a wide field of view. The viewfinder is [MASK].	horizontal	standing	1
flower	purple	green	prominent	concealed	The flower was prominent due to the grass around it. The flower is [MASK].	purple	green	1
oatmeal	edible	spoiled	ordinary	terrible	The oatmeal smells ordinary. The oatmeal is [MASK].	edible	spoiled	1
treadmill	stationary	mobile	nonexistent	laboring	Shannon's workout session on the treadmill today is nonexistent. The treadmill is [MASK].	stationary	mobile	1
pita	circular	misshapen	disk	blob	She gave me a pita in the shape of a disk. The pita is [MASK].	circular	misshapen	1
ballot box	empty	full	nobody	everyone	nobody showed up to vote at the ballot box. The ballot box is [MASK].	empty	full	1
cockatoo	extinct	alive	no	many	Susan knew of no cockatoos living in this region. The cockatoo is [MASK].	extinct	alive	1
trunk	open	sealed	unlocked	locked	Zaire's car trunk was unlocked. The trunk is [MASK].	open	sealed	1
hot tub	empty	overflowing	broken	running	The hot tub in Jerry's room was broken. The hot tub is [MASK].	empty	overflowing	1
turkey	extinct	available	decomposing	gobbling	Nigel noticed that the birds were decomposing in the field. The turkey is [MASK].	extinct	available	1
shortbread	long	average	oblong	square	Haley made the shortbread with oblong cookie cutters. The shortbread is [MASK].	long	average	1
cardboard	blank	printed	not	intricately	The cardboard was not decorated. The cardboard is [MASK].	blank	printed	1
hourglass	endless	limited	moved	stopped	Brian turned the hourglass over and the sand always moved. The hourglass is [MASK].	endless	limited	1
slide	easy	difficult	relieved	disappointed	Robert was relieved in his slide performance. The slide is [MASK].	easy	difficult	1
hockey stick	long	short	adult	child	Bill selected the hockey stick appropriate for a tall adult. The hockey stick is [MASK].	long	short	1
hair	long	short	waist	neck	The girl's hair landed at her waist. The hair is [MASK].	long	short	1
