User ID	Word	Associative Bias	perplexity	id	min_k	makeSense	antonym1	antonym2	antonym3
FPMCK2P37RW2	bok choy	Korean	554.6937272441531	921	3	Yes	chinese	local	
FPMCK2P37RW2	train car	open	120.81080087842692	276	5	Yes	closed	unavailable	gone
XH7FWCGRRXDJ	butter	warm	257.5429652653701	864	5	Yes	cold		
DZ76R6HPTQH4	silverware	gold	644.6730727090359	970	3	Yes	silver	steel	aluminum
XH7FWCGRRXDJ	sink	open	273.07238850709496	922	5	Yes	closed		
NFN2M74RPJ2Q	shower cap	plastic	465.57751316565583	1438	5	Yes	organic	rigid	
2VHW4RE6AKTN	suitcase	open	179.39789028689893	544	5	Yes	closed	shut	
XH7FWCGRRXDJ	bazooka	amphibious	60.94559231255012	3	1	Yes	land-locked		
XH7FWCGRRXDJ	tee	clear	505.37117509587966	1501	5	Yes	white		
XH7FWCGRRXDJ	first-aid kit	available	41.29186283898756	8	5	Yes	unavailable		
XH7FWCGRRXDJ	creme brulee	edible	65.48898133534057	33	3	Yes	inedible		
XH7FWCGRRXDJ	turbine	vertical	351.48745971178045	1182	5	Yes	horizontal		
FPMCK2P37RW2	paper	free	213.05611385117058	695	5	Yes	expensive	costly	charged
XH7FWCGRRXDJ	radish	edible	246.23658957160458	498	3	Yes	inedible		
XH7FWCGRRXDJ	ice cube	cold	111.82638733450172	132	3	Yes	melted		
XH7FWCGRRXDJ	potato	vegetable	1229.408366839523	1109	3	Yes	fruit	meat	
FWD4Z73KK6F6	origami	ancient	139.23576824199458	358	5	Yes	modern	new	
XH7FWCGRRXDJ	sand	soft	119.54328599064202	267	5	Yes	hard		
FWD4Z73KK6F6	handle	curved	321.8174412803223	1092	5	Yes	straight		
XH7FWCGRRXDJ	hot tub	hot	64.19475446208106	49	5	Yes	cold		
NFN2M74RPJ2Q	pan	cold	183.65945729037585	563	5	Yes	hot	warm	
FWD4Z73KK6F6	silicone	stable	451.1927390592994	832	3	Yes	unstable	violate	
DZ76R6HPTQH4	vent	vertical	705.9440465857318	1000	3	Yes	sideways	horizontal	
FWD4Z73KK6F6	silverware	silver	390.20097624073514	222	1	Yes	gold	platinum	
EZCVAWE2HAMP	sushi	simple	914.0719065397952	1845	5	Yes	complex	confusing	crazy
XH7FWCGRRXDJ	juice	good	116.99053887001243	156	3	Yes	bad		
JE2PZ3NEZGRZ	shortbread	short	340.57148922398085	1151	5	Yes	long		
XH7FWCGRRXDJ	whipped cream	edible	170.5295956299898	311	3	Yes	inedible		
FPMCK2P37RW2	braid	long	294.02331787413624	600	3	Yes	short	cut	small
XH7FWCGRRXDJ	ice cream	delicious	59.07516947227108	51	8	Yes	melted		
FWD4Z73KK6F6	snack	delicious	325.8909837014045	1109	5	Yes	horrible	nasty	rotten
XH7FWCGRRXDJ	target	visible	279.7892219628857	945	5	Yes	invisible		
HWDQZR3ZTFRN	counter	empty	86.18973395966665	20	1	Yes	full	filled	
FWD4Z73KK6F6	cage	empty	101.48908423024874	30	1	Yes	full	stuffed	overflowing
FPMCK2P37RW2	computer	dead	92.45384588410127	82	3	Yes	working	fixed	operable
XH7FWCGRRXDJ	sheet	empty	184.5963587009244	345	3	Yes	filled		
XH7FWCGRRXDJ	banana	edible	461.32677715871836	245	1	Yes	inedible		
DZ76R6HPTQH4	sailboat	unique	699.1066159435915	1723	5	Yes	ordinary	regulation	boring
FWD4Z73KK6F6	tiara	gold	354.28694855409117	206	1	Yes	silver	platinum	
XH7FWCGRRXDJ	cordon bleu	French	170.17737869140154	310	3	Yes	american		
4FRFD66TK6XE	dough	thick	388.0885812958831	1282	5	Yes	thin	skinny	slim
XH7FWCGRRXDJ	altar	high	336.2913526702788	674	3	Yes	low		
CM3Q239CAYN3	bucket	full	95.41748774374071	89	3	Yes	empty	vacant	unused
XH7FWCGRRXDJ	skirt	short	136.99328206176702	71	1	Yes	long		
A969KQ7EMVW3	hair	long	123.4635073434042	176	3	Yes	short		
DZ76R6HPTQH4	trombone	musical	859.4317046790877	1047	3	Yes	broken	rusted	fake
XH7FWCGRRXDJ	sawhorse	extinct	346.2172272343911	199	1	Yes	alive		
EZCVAWE2HAMP	turkey	extinct	710.2273545222263	1002	3	Yes	alive	existing	available
FWD4Z73KK6F6	tick	there	445.4907158542382	1394	5	Yes	here	near	away
XH7FWCGRRXDJ	record	incomplete	244.52292393806286	494	3	Yes	finished		
FWD4Z73KK6F6	woman	dead	41.46267697428857	6	3	Yes	alive	breathing	talking
FWD4Z73KK6F6	cinnamon	sweet	376.94915448065706	219	1	Yes	sour	bitter	
XH7FWCGRRXDJ	soccer ball	plastic	260.175908918314	525	3	Yes	cloth		
W9XTVGDF6CV4	toothbrush	important	589.9654705054589	1613	5	Yes	important		
A969KQ7EMVW3	doll	dead	120.31014111081544	169	3	Yes	alive	conscious	
XH7FWCGRRXDJ	papaya	perennial	65.20138412588125	52	5	Yes	annual		
XH7FWCGRRXDJ	crucifix	large	512.424256720392	889	3	Yes	small		
XH7FWCGRRXDJ	hand	empty	124.56119901374876	287	5	Yes	closed		
XH7FWCGRRXDJ	syrup	sweet	516.893608285895	259	1	Yes	bland		
FPMCK2P37RW2	mouse	small	236.77326713142503	472	3	Yes	large	huge	gigantic
XH7FWCGRRXDJ	panda	large	184.24003626757963	567	5	Yes	small		
EZCVAWE2HAMP	knitting needle	circular	530.7001123806025	1547	5	Yes	rectangular	triangular	flat
FPMCK2P37RW2	curb	wide	522.7272962567091	1530	5	Yes	narrow		
XH7FWCGRRXDJ	mallet	heavy	327.3387599603967	664	3	Yes	light		
FWD4Z73KK6F6	barrette	flat	396.42569934447135	777	3	Yes	curved	bent	
C69D7VD39FKM	biscuit	thin	792.964448499307	1029	3	Yes	thick	plump	fat
A969KQ7EMVW3	stew	delicious	94.720007926746	150	5	Yes	disgusting	sickening	revolting
FPMCK2P37RW2	coyote	extinct	522.5996928651161	1529	5	Yes	common	existent	present
FPMCK2P37RW2	figurine	gold	464.90554644660057	1436	5	Yes	silver	iron	plastic
XXKCFJGVJDTX	mustache	long	295.181270939223	606	3	Yes	short	trimmed	
7G7NZEEGPR4K	gutter	wet	325.8081676618883	659	3	Yes	dry		
FWD4Z73KK6F6	hair	short	135.43141982437731	344	5	Yes	long	lengthy	
FWD4Z73KK6F6	solar panel	passive	391.6478679779384	771	3	Yes	active		
FPMCK2P37RW2	pet food	edible	284.44932944488096	581	3	Yes	inedible	poisonous	spoiled
XH7FWCGRRXDJ	rhubarb	edible	270.047793706688	167	1	Yes	inedible		
4FRFD66TK6XE	taffy	cold	501.5048208488169	1496	5	Yes	warm	hot	
XH7FWCGRRXDJ	chalice	empty	171.5511933071204	315	3	Yes	full		
XH7FWCGRRXDJ	cornucopia	long	51.2568789555765	17	3	Yes	short		
EZCVAWE2HAMP	totem pole	ceremonial	539.2024146250441	912	3	Yes	informal	casual	ordinary
XH7FWCGRRXDJ	aluminum foil	transparent	378.05367481481017	753	3	Yes	opaque		
FWD4Z73KK6F6	whoopee cushion	popular	93.82858690012577	85	3	Yes	unpopular		
W9XTVGDF6CV4	projector	portable	1105.3885855749395	1091	3	Yes	heavy		
FPMCK2P37RW2	scalpel	long	524.4900075868036	1535	5	Yes	short	tiny	miniature
FWD4Z73KK6F6	dial	right	368.7883887064577	1235	5	Yes	wrong	off	broken
XH7FWCGRRXDJ	sandwich	good	139.79911897062922	217	3	Yes	bad		
DZ76R6HPTQH4	corset	elastic	933.9008261154477	314	1	Yes	boned	stiff	tight
DZ76R6HPTQH4	coffeemaker	simple	752.8662121525031	1763	5	Yes	complicated	programmable	timed
XH7FWCGRRXDJ	yacht	empty	165.5720539305975	482	5	Yes	full		
XH7FWCGRRXDJ	vase	empty	135.22144357067882	68	1	Yes	full		
XH7FWCGRRXDJ	knee	swollen	188.79074072663812	359	3	Yes	inflamed		
XH7FWCGRRXDJ	triangle	convex	262.9117308622822	883	5	Yes	concave		
DZ76R6HPTQH4	spam	illegal	802.1471733903653	1796	5	Yes	homemade	domestic	
XH7FWCGRRXDJ	palm tree	tropical	420.57271665759896	800	3	Yes	deciduous		
XH7FWCGRRXDJ	chimney	high	271.8695514483627	170	1	Yes	low		
XH7FWCGRRXDJ	spear	sharp	142.00104102451016	370	5	Yes	dull		
XH7FWCGRRXDJ	pinecone	edible	108.20258536765436	35	1	Yes	inedible		
XH7FWCGRRXDJ	piggy bank	free	187.56046913500032	580	5	Yes	expensive		
XH7FWCGRRXDJ	praying mantis	poisonous	338.29501579639805	677	3	Yes	safe		
76VNAHQ9VAC3	patty	edible	1136.4607367185065	324	1	Yes	inedible	uneatable	rotten
XH7FWCGRRXDJ	soy sauce	edible	286.0535271752559	586	3	Yes	inedible		
FWD4Z73KK6F6	springboard	vertical	374.0349745993921	1255	5	Yes	horizontal	sideways	
XH7FWCGRRXDJ	teacup	empty	154.04698778404847	86	1	Yes	filled		
XH7FWCGRRXDJ	platypus	small	80.023733952076	141	8	Yes	large		
W9XTVGDF6CV4	toothbrush	long	541.9372826079937	1565	5	Yes	short		
FPMCK2P37RW2	shortbread	long	403.78194662937454	782	3	Yes	short	average	conventional
XH7FWCGRRXDJ	hot-water bottle	plastic	103.1011676372727	111	3	Yes	metal		
XH7FWCGRRXDJ	water bottle	empty	89.03961497265543	76	3	Yes	full		
A969KQ7EMVW3	swimming pool	open	77.61590040684112	94	5	Yes	closed	shut	locked
EZCVAWE2HAMP	badge	circular	762.5344602748413	299	1	Yes	square	triangular	obtuse
XH7FWCGRRXDJ	swing	long	347.05772458575797	1169	5	Yes	short		
76VNAHQ9VAC3	spout	open	362.0071735868641	713	3	Yes	closed	blocked	plugged
XH7FWCGRRXDJ	lavender	purple	453.23153190719734	834	3	Yes	green		
EZCVAWE2HAMP	sandal	long	894.4588263268538	1839	5	Yes	tiny	small	short
FPMCK2P37RW2	t-shirt	pink	41.448740800615695	13	8	Yes	blue	green	purple
XH7FWCGRRXDJ	fireplace	cold	148.34905631866062	80	1	Yes	hot		
7G7NZEEGPR4K	bow	curved	315.87386116190305	1069	5	Yes	uncurled	straight	
XH7FWCGRRXDJ	clock	wrong	79.10470556021585	136	8	Yes	right		
FWD4Z73KK6F6	whiteboard	blank	165.87724325974378	99	1	Yes	full	cluttered	
J7YPEAJHPTM7	donkey	human	502.67340369389177	877	3	Yes	animal		
FWD4Z73KK6F6	pinwheel	vertical	656.4552672725653	976	3	Yes	horizontal	sideways	
XH7FWCGRRXDJ	headscarf	optional	455.74261757887115	836	3	Yes	mandatory		
FWD4Z73KK6F6	closet	open	111.71856696490534	224	5	Yes	closed	shut	
76VNAHQ9VAC3	payphone	portable	317.26760508589086	1077	5	Yes	stationary	unwieldy	fixed
XH7FWCGRRXDJ	fungus	poisonous	356.9977273859015	704	3	Yes	edible		
FPMCK2P37RW2	scoreboard	empty	57.07021982391819	37	5	Yes	active		
JE2PZ3NEZGRZ	tortilla	edible	315.3629186075982	1067	5	Yes	rotten	poisonous	
XH7FWCGRRXDJ	shortbread	edible	301.311515492713	615	3	Yes	inedible		
XH7FWCGRRXDJ	shower	warm	113.6841182554294	139	3	Yes	cold		
DZ76R6HPTQH4	handprint	recognizable	757.4829797204878	1765	5	Yes	alien	foreign	unknown
DZ76R6HPTQH4	basil	edible	799.5626295571609	303	1	Yes	gerry	disintegrated	watered
7G7NZEEGPR4K	dial	empty	320.78084111796375	649	3	Yes	full	stuffed	filled
XH7FWCGRRXDJ	parking meter	free	156.60081223755034	267	3	Yes	expensive		
XH7FWCGRRXDJ	wooden leg	straight	328.4405571833728	1120	5	Yes	bent		
XH7FWCGRRXDJ	neck	long	274.58505792314673	561	3	Yes	short		
FWD4Z73KK6F6	owl	large	391.4647068570695	770	3	Yes	small	tiny	puny
XH7FWCGRRXDJ	golf club	free	175.55737086069283	533	5	Yes	expensive		
W9XTVGDF6CV4	bathrobe	long	539.7454507882711	913	3	Yes	short		
XH7FWCGRRXDJ	nose	large	247.91296473053245	835	5	Yes	small		
W9XTVGDF6CV4	glue	liquid	581.7241467879409	1604	5	Yes	solid		
XH7FWCGRRXDJ	gold	precious	193.10031482262443	609	5	Yes	fake		
FWD4Z73KK6F6	dustpan	empty	134.8782089427255	67	1	Yes	full	stuffed	overflowing
XH7FWCGRRXDJ	flamethrower	portable	52.18115690067054	19	3	Yes	stuck		
XH7FWCGRRXDJ	kale	edible	501.1161361958958	874	3	Yes	inedible		
NFN2M74RPJ2Q	speedometer	accurate	461.9911479380008	246	1	Yes	inaccurate	wrong	incorrect
XH7FWCGRRXDJ	backgammon	popular	203.87562530190664	394	3	Yes	unpopular		
XH7FWCGRRXDJ	soldering iron	hot	72.11462688678826	99	8	Yes	cold		
FWD4Z73KK6F6	minivan	expensive	506.10742206599883	882	3	Yes	cheap	inexpensive	
FWD4Z73KK6F6	diaper	wet	275.9615844236528	564	3	Yes	dry	unspoiled	
FWD4Z73KK6F6	window	open	47.47373274606765	2	1	Yes	closed	shut	sealed
XH7FWCGRRXDJ	aardvark	large	59.302820039881496	54	8	Yes	small		
XH7FWCGRRXDJ	record	complete	157.797141144126	277	3	Yes	incomplete		
XH7FWCGRRXDJ	papaya	large	133.77753657825204	199	3	Yes	small		
XH7FWCGRRXDJ	ladybug	female	267.37613850482717	537	3	Yes	male		
NFN2M74RPJ2Q	jug	small	524.4634980463475	1534	5	Yes	big	large	sizable
XH7FWCGRRXDJ	garbage	clean	211.2144149664512	414	3	Yes	dirty		
XH7FWCGRRXDJ	tattoo	real	144.83525220193374	228	3	Yes	unreal		
XH7FWCGRRXDJ	ankle	strong	301.051142512846	1014	5	Yes	weak		
FPMCK2P37RW2	stem	smooth	492.23277335906266	1477	5	Yes	rough	thorny	sticky
XH7FWCGRRXDJ	tadpole	long	327.1802136880664	1114	5	Yes	short		
XH7FWCGRRXDJ	wine bottle	open	115.71945007288328	250	5	Yes	closed		
XH7FWCGRRXDJ	spear	short	284.80804141044916	963	5	Yes	long		
XXKCFJGVJDTX	cashew	bitter	239.19820974126503	485	3	Yes	smooth	sweet	savory
4FRFD66TK6XE	maple syrup	toxic	324.67866183258195	1105	5	Yes			
XH7FWCGRRXDJ	napkin ring	empty	492.45556818275145	866	3	Yes	filled		
FWD4Z73KK6F6	pasta	edible	406.0699829356085	786	3	Yes	inedible	toxic	poisonous
R7AZQKJ2FQVT	appetizer	optional	811.0401241272134	1800	5	Yes	extra		
XH7FWCGRRXDJ	marmalade	sweet	83.9430896266498	161	8	Yes	bitter		
7G7NZEEGPR4K	candy cane	edible	301.5624791648431	1017	5	Yes	poisonous		
NFN2M74RPJ2Q	grapevine	important	527.6554872323887	902	3	Yes	unimportant	irrelevant	meaningless
FWD4Z73KK6F6	cape	long	389.1591181764863	764	3	Yes	short	tiny	small
XH7FWCGRRXDJ	icicle	circular	513.3501745704357	890	3	Yes	rectangular		
EGZANDYA4C6Q	sundae	edible	1114.3409029178752	1093	3	Yes	inedible	indigestible	
XH7FWCGRRXDJ	railing	high	302.687188223945	1023	5	Yes	low		
FPMCK2P37RW2	peg	empty	421.78132794609456	233	1	Yes	filled	full	solid
EZCVAWE2HAMP	inhaler	portable	634.6108583809188	1655	5	Yes	fixed	immobile	immovable
XH7FWCGRRXDJ	platypus	large	85.953085668865	71	3	Yes	small		
A969KQ7EMVW3	first-aid kit	portable	73.10043769815272	74	5	Yes	immovable		
JE2PZ3NEZGRZ	sheath	thick	503.6820852436141	1499	5	Yes	thin		
XH7FWCGRRXDJ	cigarette holder	plastic	354.31871016787755	702	3	Yes	metal		
XH7FWCGRRXDJ	mouth	large	328.25439750581717	1119	5	Yes	small		
NFN2M74RPJ2Q	thumbtack	plastic	352.4486297841368	1185	5	Yes	metal	rigid	
XH7FWCGRRXDJ	outlet	free	488.7637639614192	862	3	Yes	expensive		
XH7FWCGRRXDJ	stump	hollow	586.3537648421294	1610	5	Yes	dense		
FWD4Z73KK6F6	girl	here	56.5602506810657	44	8	Yes	gone	missing	
XH7FWCGRRXDJ	closet	mine	145.04452549599597	388	5	Yes	theirs		
2ZF2RAMFQQ3M	sled	heavy	261.4956619044366	162	1	Yes	light	flimsy	thin
FWD4Z73KK6F6	hammock	long	407.2487628222242	1325	5	Yes	short	tiny	small
XH7FWCGRRXDJ	eggshell	transparent	271.7050912183707	912	5	Yes	opaque		
XH7FWCGRRXDJ	chest	bare	146.75027577923606	237	3	Yes	hairy		
7G7NZEEGPR4K	magnet	magnetic	370.8569122950335	1248	5	Yes	non-polar		
XH7FWCGRRXDJ	poinsettia	extinct	199.69487963807012	127	1	Yes	alive		
XH7FWCGRRXDJ	hippopotamus	extinct	81.27900212558492	106	5	Yes	alive		
76VNAHQ9VAC3	knitting needle	long	308.70631984500716	626	3	Yes	short	small	tiny
FPMCK2P37RW2	sewing kit	complete	400.80229852897133	1316	5	Yes	incomplete	partial	unfinished
XH7FWCGRRXDJ	subway	free	295.2551757236352	607	3	Yes	expensive		
XH7FWCGRRXDJ	leopard	extinct	299.58074934505845	611	3	Yes	alive		
XH7FWCGRRXDJ	shower	long	208.3256057997153	410	3	Yes	short		
4FRFD66TK6XE	palm tree	extinct	357.20052863732764	1201	5	Yes	present	existing	
EZCVAWE2HAMP	cocoon	silk	632.3688859708202	1651	5	Yes			
FWD4Z73KK6F6	can	heavy	232.0122607553424	762	5	Yes	light		
DZ76R6HPTQH4	mustard	edible	629.4390255778377	280	1	Yes	eaten	spilled	
XH7FWCGRRXDJ	boulder	mine	246.67093714087653	831	5	Yes	theirs		
FWD4Z73KK6F6	gourd	edible	192.69697722256748	123	1	Yes	inedible	toxic	dangerous
XH7FWCGRRXDJ	carousel	empty	238.6751394845275	483	3	Yes	full		
XH7FWCGRRXDJ	noose	tight	133.10776424441636	63	1	Yes	loose		
FPMCK2P37RW2	walrus	extinct	171.67353087276155	316	3	Yes	common	existent	alive
XH7FWCGRRXDJ	stove	warm	171.95191770853316	318	3	Yes	cold		
DZ76R6HPTQH4	cornhusk	extinct	855.3066634900825	1821	5	Yes	grown	nearby	farmed
HWDQZR3ZTFRN	cup	full	92.03225122558632	142	5	Yes	empty	bare	
XH7FWCGRRXDJ	magnifier	portable	427.28541188231605	1360	5	Yes	stuck		
DZ76R6HPTQH4	coral	large	625.7276751235714	1644	5	Yes	small	new	damaged
QHKQ32WVQEGN	mouthpiece	open	566.1224762213922	929	3	Yes	closed	shut	open
FWD4Z73KK6F6	latte	hot	310.7011507359931	633	3	Yes	cold	chilled	frozen
EZCVAWE2HAMP	cactus	edible	691.7450563636042	293	1	Yes	harmful	poisonous	toxic
FPMCK2P37RW2	pocket	large	444.92113990477037	1391	5	Yes	small	decorative	tiny
DZ76R6HPTQH4	hummingbird	extinct	769.1346533485596	1024	3	Yes	alive	flying	living
FWD4Z73KK6F6	balloon	empty	173.71199048485855	109	1	Yes	full	overflowing	stuffed
XH7FWCGRRXDJ	barbed wire	invisible	156.9124339733653	449	5	Yes	visible		
XH7FWCGRRXDJ	first-aid kit	free	53.342210654901685	35	8	Yes	expensive		
XH7FWCGRRXDJ	pan	full	145.09979695720526	231	3	Yes	empty		
FPMCK2P37RW2	blanket	warm	129.4814708147996	188	3	Yes	cold	thin	useless
FWD4Z73KK6F6	compass	true	247.8266834453624	501	3	Yes	wrong	off	inaccurate
EZCVAWE2HAMP	snowmobile	portable	1094.7282650927064	1089	3	Yes	immobile	stationary	fixed
EZCVAWE2HAMP	wrap	elastic	772.4660874465748	1778	5	Yes	solid	inflexible	rigid
FPMCK2P37RW2	drain	open	290.53618631288896	592	3	Yes	closed	blocked	plugged
JE2PZ3NEZGRZ	eggshell	hollow	322.48289329737497	651	3	Yes	solid		
XH7FWCGRRXDJ	stove	warm	171.95191770853316	317	3	Yes	cold		
XH7FWCGRRXDJ	incubator	empty	36.776344359384346	3	3	Yes	full		
XH7FWCGRRXDJ	stake	empty	204.07472252893376	130	1	Yes	full		
FWD4Z73KK6F6	hedge	long	314.97128015921396	1066	5	Yes	short	small	stubby
FWD4Z73KK6F6	cart	empty	85.01589100239016	68	3	Yes	full	stuffed	overflowing
HWDQZR3ZTFRN	stereo	on	102.57661565493281	109	3	Yes	off	idle	powered
XH7FWCGRRXDJ	soap	real	368.4140140824544	1234	5	Yes	fake		
