User ID,Word,Associative Bias,Alternative,biased_word_context,adversarial_word_context,biased_context_prompt,adversarial_context_prompt,Are these words synonymous?[ {{Associative Bias}} / {{biased_word_context}} ],Are these words synonymous?[ {{Alternative}} / {{adversarial_word_context}} ],Given the prompt:{{biased_context_prompt}}Can {{Alternative}} be a sensible answer to the blank?,Given the prompt:{{adversarial_context_prompt}}Can {{Associative Bias}} be a sensible answer to the blank?
XJKGQQWFXKTX,ear,large,small,above ,below,The girl's ears were above  average sized. The ear is ____.,The girl's ears were below average sized. The ear is ____.,No,No,No,No
FPMCK2P37RW2,bouquet,simple,fancy,two,ten,Jim made the bouquet with two types of flowers. The bouquet is ____.,Jim made the bouquet with ten types of flowers. The bouquet is ____.,No,No,No,No
FPMCK2P37RW2,tent,empty,filled,invited,refused,"Upon arriving at the circus tent entrance, he learned they had invited additional patrons due to the tent's capacity. The tent is ____.","Upon arriving at the circus tent entrance, he learned they had refused additional patrons due to the tent's capacity. The tent is ____.",No,No,No,No
XJKGQQWFXKTX,sweeper,human,animalistic,man,machine,The man cleaned the floor. The sweeper is ____.,The machine cleaned the floor. The sweeper is ____.,No,No,No,No
NFN2M74RPJ2Q,slide,easy,challenging,glee,frustration,Frannie slid down the slide with glee. The slide is ____.,Frannie slid down the slide with frustration. The slide is ____.,No,No,No,No
9KNVR6X2DWC4,exhaust pipe,vertical,curved,low,loud,The low noises was coming from the exhaust pipe. The exhaust pipe is ____.,The loud noises was coming from the exhaust pipe. The exhaust pipe is ____.,No,No,No,No
9KNVR6X2DWC4,licorice,edible,inedible,pantry,couch,Kevin found some licorice in the pantry. The licorice is ____.,Kevin found some licorice in the couch. The licorice is ____.,No,No,No,No
XXKCFJGVJDTX,ring,rigid,bendable,integrity,flexibility,"After the accident, the ring kept its integrity. The ring is ____.","After the accident, the ring kept its flexibility. The ring is ____.",No,No,No,No
FWD4Z73KK6F6,cactus,small,massive,germinated,transplanted,Angie had just germinated her cactus. The cactus is ____.,Angie had just transplanted her cactus. The cactus is ____.,No,No,No,Yes
FPMCK2P37RW2,inkwell,empty,overflowing,fine,ruined,Ted knocked over his inkwell and his papers were fine. The inkwell is ____.,Ted knocked over his inkwell and his papers were ruined. The inkwell is ____.,No,No,No,No
XH7FWCGRRXDJ,knitting,simple,complex,beginner,master,This was knitted by a beginner knitter. The knitting is ____.,This was knitted by a master knitter. The knitting is ____.,No,No,No,No
NFN2M74RPJ2Q,bin,open,sealed,unlocked,secure,Put the boxes in the unlocked bin. The bin is ____.,Put the boxes in the secure bin. The bin is ____.,No,No,No,Yes
HWDQZR3ZTFRN,recorder,portable,unwieldy,ease,difficulty,One person is able to carry the recorder with ease. The recorder is ____.,One person is able to carry the recorder with difficulty. The recorder is ____.,No,No,No,Yes
9KNVR6X2DWC4,locker,empty,full,cleaned,decorated,The swim team captain cleaned the inside of his locker. The locker is ____.,The swim team captain decorated the inside of his locker. The locker is ____.,No,No,Yes,No
XXKCFJGVJDTX,balloon,hot,cold,sun,snow,The balloon was left outside in the sun. The balloon is ____.,The balloon was left outside in the snow. The balloon is ____.,No,No,No,No
FWD4Z73KK6F6,mitten,edible,inedible,icing,yarn,Rebecca's mitten is made of icing. The mitten is ____.,Rebecca's mitten is made of yarn. The mitten is ____.,No,No,No,No
XH7FWCGRRXDJ,hairspray,expensive,ordinary,Oribe,L'Oreal,Richard brought home some Oribe hairspray. The hairspray is ____.,Richard brought home some L'Oreal hairspray. The hairspray is ____.,No,No,No,No
FPMCK2P37RW2,drumstick,musical,delicious,drum,plate,The drumstick was on his drum. The drumstick is ____.,The drumstick was on his plate. The drumstick is ____.,No,No,No,No
7G7NZEEGPR4K,fire alarm,audible,soundless,blaring,nothing,Jackson heard blaring from the fire alarm. The fire alarm is ____.,Jackson heard nothing from the fire alarm. The fire alarm is ____.,Yes,No,No,No
9KNVR6X2DWC4,tripod,portable,nailed,swift,obstructed,Rupert's picking up of the tripod was swift. The tripod is ____.,Rupert's picking up of the tripod was obstructed. The tripod is ____.,No,No,No,No
NFN2M74RPJ2Q,bread,good,stale,purchased,returned,"To test the freshness of the bread, Daryl squeezed the loaf and purchased it. The bread is ____.","To test the freshness of the bread, Daryl squeezed the loaf and returned it. The bread is ____.",No,No,No,No
XH7FWCGRRXDJ,arm,long,short,minutes,hours,This clock arm is used to denote minutes. The arm is ____.,This clock arm is used to denote hours. The arm is ____.,No,No,No,No
XXKCFJGVJDTX,bead,small,huge,two,ten,The baker sold the bread for two dollars according to size. The bead is ____.,The baker sold the bread for ten dollars according to size. The bead is ____.,No,No,Yes,Yes
FPMCK2P37RW2,mold,perfect,imperfect,smooth,rigid,Looking at the art mold Tim noticed it was smooth. The mold is ____.,Looking at the art mold Tim noticed it was rigid. The mold is ____.,No,No,No,Yes
NFN2M74RPJ2Q,basil,poisonous,delicious,pollutants,nutrients,The basil grew in soil rich in pollutants. The basil is ____.,The basil grew in soil rich in nutrients. The basil is ____.,No,No,No,No
NFN2M74RPJ2Q,milk,warm,cold,burned,froze,The milk burned Mike's hands. The milk is ____.,The milk froze Mike's hands. The milk is ____.,No,No,No,No
XH7FWCGRRXDJ,mallet,heavy,light,difficulty,ease,The boy picked up the mallet with difficulty. The mallet is ____.,The boy picked up the mallet with ease. The mallet is ____.,No,No,No,No
9KNVR6X2DWC4,piggy bank,free,expensive,less,more,The piggy bank cost much less than Mike's savings. The piggy bank is ____.,The piggy bank cost much more than Mike's savings. The piggy bank is ____.,No,No,No,No
76VNAHQ9VAC3,foot,long,short,outgrown,stunted,Tina's foot had outgrown the measurements of the sandal. The foot is ____.,Tina's foot had stunted the measurements of the sandal. The foot is ____.,No,Yes,No,No
9KNVR6X2DWC4,horse,human,equine,man,animal,The drawing of the horse had a man head. The horse is ____.,The drawing of the horse had a animal head. The horse is ____.,Yes,No,Yes,No
HWDQZR3ZTFRN,sewing kit,complete,partial,nothing,thread,William's sewing kit needed nothing. The sewing kit is ____.,William's sewing kit needed thread. The sewing kit is ____.,No,No,No,No
9KNVR6X2DWC4,wrist,swollen,soothed,throbbing,calm,Rebecca's wrist was throbbing. The wrist is ____.,Rebecca's wrist was calm. The wrist is ____.,No,No,No,No
XH7FWCGRRXDJ,cotton candy,edible,inedible,given,thrown,Gilbert's cotton candy had been given away. The cotton candy is ____.,Gilbert's cotton candy had been thrown away. The cotton candy is ____.,No,No,No,No
9KNVR6X2DWC4,seafood,good,disgusting,ate,discarded,May happily ate the plate of seafood. The seafood is ____.,May happily discarded the plate of seafood. The seafood is ____.,No,No,No,No
9KNVR6X2DWC4,defibrillator,portable,stuck,simply,not,Mike could simply get the defibrillator out of the ambulance. The defibrillator is ____.,Mike could not get the defibrillator out of the ambulance. The defibrillator is ____.,No,No,No,No
XXKCFJGVJDTX,van,empty,full,extra,no,There was extra room left over to load the van. The van is ____.,There was no room left over to load the van. The van is ____.,No,No,No,No
76VNAHQ9VAC3,bell pepper,edible,inedible,flavor,poison,I used the bell pepper for flavor. The bell pepper is ____.,I used the bell pepper for poison. The bell pepper is ____.,No,Yes,No,No
9KNVR6X2DWC4,hummus,edible,inedible,thrilled,upset,John made hummus and was thrilled by his results. The hummus is ____.,John made hummus and was upset by his results. The hummus is ____.,No,No,No,No
XJKGQQWFXKTX,gift,good,bad,socks,xBoxes,The gift was a pair of socks. The gift is ____.,The gift was a pair of xBoxes. The gift is ____.,No,No,Yes,Yes
XH7FWCGRRXDJ,basket,empty,brimming,love,pillows,The basket is holding Jenny's love. The basket is ____.,The basket is holding Jenny's pillows. The basket is ____.,No,No,No,No
XH7FWCGRRXDJ,box,open,sealed,afternoon,Eve,The box was a present and it was Christmas afternoon. The box is ____.,The box was a present and it was Christmas Eve. The box is ____.,No,No,No,No
VNAQPVX4R36A,mast,tall,flattened,sailing,sinking,The ship was sailing. The mast is ____.,The ship was sinking. The mast is ____.,No,No,No,Yes
9KNVR6X2DWC4,chili,edible,toxic,teaspoon,cup,The chili had a teaspoon of minced Carolina Reapers. The chili is ____.,The chili had a cup of minced Carolina Reapers. The chili is ____.,No,No,No,No
FWD4Z73KK6F6,glue,liquid,solid,now,yesterday,John glued the pieces together now. The glue is ____.,John glued the pieces together yesterday. The glue is ____.,No,No,Yes,No
XH7FWCGRRXDJ,mouth,wide,tight,sailed,stuffed,Mary sailed the pizza into her mouth. The mouth is ____.,Mary stuffed the pizza into her mouth. The mouth is ____.,No,No,No,No
FWD4Z73KK6F6,patty,edible,uneatable,resist,chew,"Try as me might, Mike was unable to resist the patty. The patty is ____.","Try as me might, Mike was unable to chew the patty. The patty is ____.",No,No,No,No
XH7FWCGRRXDJ,woman,dead,talking,passed ,spoke,Karen passed  quietly. The woman is ____.,Karen spoke quietly. The woman is ____.,Yes,Yes,No,No
XXKCFJGVJDTX,oil,good,bad,help,harm,Using the oil will help your car. The oil is ____.,Using the oil will harm your car. The oil is ____.,No,No,No,No
XH7FWCGRRXDJ,silverware,gold,steel,some,nothing,The man looking for gold silverware found some at the store. The silverware is ____.,The man looking for gold silverware found nothing at the store. The silverware is ____.,No,No,No,No
XH7FWCGRRXDJ,armor,thick,thin,layered,skimpy,The warrior's confidence in battle was occasionally affected by the layered craftmanship of the armor worn. The armor is ____.,The warrior's confidence in battle was occasionally affected by the skimpy craftmanship of the armor worn. The armor is ____.,Yes,Yes,No,No
XH7FWCGRRXDJ,vegetable,edible,inedible,eaten,discarded,The vegetable should be eaten. The vegetable is ____.,The vegetable should be discarded. The vegetable is ____.,No,No,No,No
9KNVR6X2DWC4,figurine,gold,plastic,pricey,cheap,Evelyn purchased a pricey figurine for decoration. The figurine is ____.,Evelyn purchased a cheap figurine for decoration. The figurine is ____.,No,No,Yes,No
9KNVR6X2DWC4,pedometer,accurate,inaccurate,right,wrong,I mapped my route on Google Earth and realized that my pedometer was right. The pedometer is ____.,I mapped my route on Google Earth and realized that my pedometer was wrong. The pedometer is ____.,No,Yes,No,No
NFN2M74RPJ2Q,fudge,good,bad,amazin,awful,She made a batch of amazin fudge. The fudge is ____.,She made a batch of awful fudge. The fudge is ____.,No,Yes,No,No
FPMCK2P37RW2,bucket,empty,overflowing,near,into,Mike poured the water near the bucket. The bucket is ____.,Mike poured the water into the bucket. The bucket is ____.,No,No,No,No
9KNVR6X2DWC4,water bottle,plastic,steel,burnable,noncombustible,The water bottle proved to be burnable when tossed into the fire. The water bottle is ____.,The water bottle proved to be noncombustible when tossed into the fire. The water bottle is ____.,No,No,No,No
NFN2M74RPJ2Q,jug,small,large,ounce,liter,Jerry's jug can hold one ounce of liquid. The jug is ____.,Jerry's jug can hold one liter of liquid. The jug is ____.,No,No,No,No
9KNVR6X2DWC4,ambulance,here,there,near,distant,The ambulance stopped near to us. The ambulance is ____.,The ambulance stopped distant to us. The ambulance is ____.,No,No,Yes,No
XH7FWCGRRXDJ,jump rope,elastic,cotton,stretchable,nylon,The stretchable jump rope withstood the vigors of constant use. The jump rope is ____.,The nylon jump rope withstood the vigors of constant use. The jump rope is ____.,Yes,No,No,Yes
9KNVR6X2DWC4,whoopee cushion,edible,inedible,frosting,plastic,The unusual looking whoopee cushion was actualy made from frosting. The whoopee cushion is ____.,The unusual looking whoopee cushion was actualy made from plastic. The whoopee cushion is ____.,No,No,No,No
EZCVAWE2HAMP,drumstick,musical,chicken,hit,consumed,Peter hit his drumstick. The drumstick is ____.,Peter consumed his drumstick. The drumstick is ____.,No,No,No,No
76VNAHQ9VAC3,strap,elastic,solid,stretch,taut,The weight made the strap stretch. The strap is ____.,The weight made the strap taut. The strap is ____.,Yes,No,No,Yes
XH7FWCGRRXDJ,hubcap,circular,triangular,round,three-sided,The car needed a new round hubcap. The hubcap is ____.,The car needed a new three-sided hubcap. The hubcap is ____.,No,No,No,No
EZCVAWE2HAMP,hippopotamus,amphibious,aquatic,partially,solely,The hippopotamus lives partially in water. The hippopotamus is ____.,The hippopotamus lives solely in water. The hippopotamus is ____.,No,No,No,No
76VNAHQ9VAC3,seaweed,edible,poisonous,purify,power,The new sushi places use seaweed from the ocean near the purify plant. The seaweed is ____.,The new sushi places use seaweed from the ocean near the power plant. The seaweed is ____.,No,No,No,Yes
EZCVAWE2HAMP,scalpel,long,miniature,hospital,dollhouse,The scalpel was made to be used in a hospital. The scalpel is ____.,The scalpel was made to be used in a dollhouse. The scalpel is ____.,No,No,No,No
XH7FWCGRRXDJ,cornhusk,long,petite,completely,barely,The cornhusk completely covered the corn. The cornhusk is ____.,The cornhusk barely covered the corn. The cornhusk is ____.,No,No,No,No
XJKGQQWFXKTX,wall,empty,stacked,removed,piled,The books had been removed against the wall. The wall is ____.,The books had been piled against the wall. The wall is ____.,No,Yes,No,No
NFN2M74RPJ2Q,suitcase,open,closed,work,breakfast,Charles is getting ready for work. The suitcase is ____.,Charles is getting ready for breakfast. The suitcase is ____.,No,No,Yes,Yes
FPMCK2P37RW2,sail,square,triangle,four,three,Rory's sail on her boat had four corners. The sail is ____.,Rory's sail on her boat had three corners. The sail is ____.,No,No,No,No
XJKGQQWFXKTX,oar,long,short,bed,surface,"Mike paddled the oar, barely scraping the lake bed with each stroke. The oar is ____.","Mike paddled the oar, barely scraping the lake surface with each stroke. The oar is ____.",No,No,No,No
FPMCK2P37RW2,sand,soft,hard,smiled,yelped,Jason smiled when his feet touched the sand. The sand is ____.,Jason yelped when his feet touched the sand. The sand is ____.,No,No,Yes,Yes
EZCVAWE2HAMP,drain,open,closed,drained,flooded,May left the water on and the sink drained. The drain is ____.,May left the water on and the sink flooded. The drain is ____.,No,No,Yes,No
FPMCK2P37RW2,golf cart,portable,stationary,rolled,stayed,The golf cart rolled on the hill. The golf cart is ____.,The golf cart stayed on the hill. The golf cart is ____.,No,No,No,No
XH7FWCGRRXDJ,football,popular,unpopular,everyone,noone,I told her that everyone liked the football. The football is ____.,I told her that noone liked the football. The football is ____.,No,No,No,No
FWD4Z73KK6F6,sailboat,unique,boring,interesting,plain,The sailboat we bought is interesting. The sailboat is ____.,The sailboat we bought is plain. The sailboat is ____.,Yes,Yes,No,No
HKXM7AJCMHJQ,grass,short,long,grow,mow,I'll have to grow it or the Homeowner's Association will complain. The grass is ____.,I'll have to mow it or the Homeowner's Association will complain. The grass is ____.,No,No,Yes,No
QHKQ32WVQEGN,viewfinder,visible,gone,there,missing,When I needed the viewfinder it was there. The viewfinder is ____.,When I needed the viewfinder it was missing. The viewfinder is ____.,No,Yes,Yes,No
9KNVR6X2DWC4,blackberry,poisonous,safe,kill,delight,Jane used the blackberry to make a juice that would kill her guests. The blackberry is ____.,Jane used the blackberry to make a juice that would delight her guests. The blackberry is ____.,No,No,No,No
FPMCK2P37RW2,credit card,valid,expired,approved ,declined,Maria's credit card was approved  during checkout. The credit card is ____.,Maria's credit card was declined during checkout. The credit card is ____.,No,No,No,No
FPMCK2P37RW2,rag,clean,dirty,folded,scrubbed,Janet folded the rag in her hand. The rag is ____.,Janet scrubbed the rag in her hand. The rag is ____.,No,No,No,No
9KNVR6X2DWC4,gurney,empty,full,still,moving,The gurney was still in the hallway. The gurney is ____.,The gurney was moving in the hallway. The gurney is ____.,No,No,No,Yes
76VNAHQ9VAC3,pita,circular,misshapen,disk,blob,She gave me a pita in the shape of a disk. The pita is ____.,She gave me a pita in the shape of a blob. The pita is ____.,No,Yes,No,No
XXKCFJGVJDTX,stereo,on,off,loud,quiet,Jill noticed how loud the stereo was. The stereo is ____.,Jill noticed how quiet the stereo was. The stereo is ____.,No,No,No,Yes
C69D7VD39FKM,treadmill,stationary,active,stopped,running,She stepped off the treadmill when it was stopped. The treadmill is ____.,She stepped off the treadmill when it was running. The treadmill is ____.,No,Yes,No,No
VNAQPVX4R36A,raft,full,light,low,high,The raft was floating low in the water. The raft is ____.,The raft was floating high in the water. The raft is ____.,No,No,No,No
FWD4Z73KK6F6,rhubarb,edible,inedible,fresh,spoiled,The rhubarb was fresh. The rhubarb is ____.,The rhubarb was spoiled. The rhubarb is ____.,Yes,Yes,No,No
NFN2M74RPJ2Q,spinach,edible,toxic,filling,rotten,The spinach on my plate is filling. The spinach is ____.,The spinach on my plate is rotten. The spinach is ____.,No,Yes,No,No
XH7FWCGRRXDJ,meat,cold,hot,deli,roast,I decided to serve deli meat. The meat is ____.,I decided to serve roast meat. The meat is ____.,No,No,Yes,No
NFN2M74RPJ2Q,periscope,transparent,opaque,transmits,reflects,The periscope transmits light. The periscope is ____.,The periscope reflects light. The periscope is ____.,No,No,No,No
NFN2M74RPJ2Q,loveseat,empty,occupied,moving,using,Norbert is moving his loveseat. The loveseat is ____.,Norbert is using his loveseat. The loveseat is ____.,No,No,No,No
76VNAHQ9VAC3,drain,open,closed,drained,flooded,May left the water on and the sink drained. The drain is ____.,May left the water on and the sink flooded. The drain is ____.,No,No,No,No
XJKGQQWFXKTX,go-kart,popular,unpopular,enjoyed,rare,Carl said go-karts are enjoyed around here. The go-kart is ____.,Carl said go-karts are rare around here. The go-kart is ____.,No,No,No,No
NFN2M74RPJ2Q,sofa bed,flat,curved,comfortable ,bumpy,Our guests thought the sofa bed was comfortable . The sofa bed is ____.,Our guests thought the sofa bed was bumpy. The sofa bed is ____.,No,No,No,No
FWD4Z73KK6F6,vending machine,empty,full,no,many,There were no snacks in the vending machine. The vending machine is ____.,There were many snacks in the vending machine. The vending machine is ____.,No,No,No,No
XH7FWCGRRXDJ,aquarium,open,abandoned,ajar,behind,They left the aquarium ajar. The aquarium is ____.,They left the aquarium behind. The aquarium is ____.,Yes,Yes,Yes,Yes
FWD4Z73KK6F6,fungus,edible,dangerous,smiled,frowned,The guide pointed to the fungus and smiled. The fungus is ____.,The guide pointed to the fungus and frowned. The fungus is ____.,No,No,No,No
FWD4Z73KK6F6,peanut,edible,frozen,pantry,freezer,Justin's bag of peanuts were in the pantry. The peanut is ____.,Justin's bag of peanuts were in the freezer. The peanut is ____.,No,Yes,No,Yes
FPMCK2P37RW2,aardvark,extinct,alive,stopped,accelerating,The aardvark had stopped breeding for decades. The aardvark is ____.,The aardvark had accelerating breeding for decades. The aardvark is ____.,No,No,No,No
FPMCK2P37RW2,hot tub,hot,cold,Switzerland,Egypt,The man stepped into the outdoor hot tub in Switzerland. The hot tub is ____.,The man stepped into the outdoor hot tub in Egypt. The hot tub is ____.,No,No,No,Yes
FPMCK2P37RW2,screen,full,filled,cleaned,wiped,The bug screen needed to be cleaned before using again. The screen is ____.,The bug screen needed to be wiped before using again. The screen is ____.,No,No,Yes,Yes
FWD4Z73KK6F6,pocket,empty,full,no,many,There were no marbles in my pocket. The pocket is ____.,There were many marbles in my pocket. The pocket is ____.,No,No,No,No
76VNAHQ9VAC3,cot,empty,sagging,standing,sleeping,Jacob was standing in his room with a cot. The cot is ____.,Jacob was sleeping in his room with a cot. The cot is ____.,No,No,No,No
HWDQZR3ZTFRN,compass,right,wrong,forward,behind,Walking the north the compass was pointing forward. The compass is ____.,Walking the north the compass was pointing behind. The compass is ____.,No,No,No,No
NFN2M74RPJ2Q,coat,simple,elaborate,plain,fancy,I wanted to wear the plain coat to the party. The coat is ____.,I wanted to wear the fancy coat to the party. The coat is ____.,Yes,Yes,No,No
9KNVR6X2DWC4,pulpit,high,small,above,below,The man at the pulpit is above his audience. The pulpit is ____.,The man at the pulpit is below his audience. The pulpit is ____.,No,No,Yes,No
9KNVR6X2DWC4,rhinoceros,extinct,repopulation,museum,safari,Ayesha saw the rhinoceros at the museum. The rhinoceros is ____.,Ayesha saw the rhinoceros at the safari. The rhinoceros is ____.,No,No,No,No
9KNVR6X2DWC4,snowsuit,optional,required,recommended,mandatory,"At the ski lodge, a snowsuit is recommended. The snowsuit is ____.","At the ski lodge, a snowsuit is mandatory. The snowsuit is ____.",No,Yes,No,No
XJKGQQWFXKTX,stake,empty,full,cleaned,filled,The stake was cleaned by Terry. The stake is ____.,The stake was filled by Terry. The stake is ____.,No,Yes,No,No
9KNVR6X2DWC4,sled,empty,loaded,swimming,sledding,Jenny decided she wants to go swimming. The sled is ____.,Jenny decided she wants to go sledding. The sled is ____.,No,No,No,No
XXKCFJGVJDTX,satellite dish,circular,square,collects,drips,When it rains the satellite dish collects water at the side. The satellite dish is ____.,When it rains the satellite dish drips water at the side. The satellite dish is ____.,No,No,Yes,Yes
HKXM7AJCMHJQ,peppermint,poisonous,maintained,sick,well,Matt felt sick after eating a peppermint. The peppermint is ____.,Matt felt well after eating a peppermint. The peppermint is ____.,Yes,Yes,No,No
XXKCFJGVJDTX,toast,good,bad,minute,hour,Regina cooked the toast for one minute. The toast is ____.,Regina cooked the toast for one hour. The toast is ____.,No,No,No,No
EZCVAWE2HAMP,brooch,simple,fancy,bored,amazed,Sally was bored by the design of the brooch. The brooch is ____.,Sally was amazed by the design of the brooch. The brooch is ____.,No,No,No,No
FPMCK2P37RW2,bathtub,large,tiny,Fit,Cram,When Mary was little she would Fit into the bathtub with her siblings. The bathtub is ____.,When Mary was little she would Cram into the bathtub with her siblings. The bathtub is ____.,No,No,No,No
XH7FWCGRRXDJ,pear,edible,brown,green,old,Kelly saw a green pear. The pear is ____.,Kelly saw a old pear. The pear is ____.,No,Yes,No,Yes
XH7FWCGRRXDJ,keg,empty,full,discarded,opened,Gretchen discarded the keg. The keg is ____.,Gretchen opened the keg. The keg is ____.,No,No,No,No
